1,metric,model,method
0.6923076923076923,acc,RandomForest,canary
0.6923076923076923,acc,RandomForest,canary
0.6923076923076923,acc,RandomForest,canary
0.7692307692307693,acc,RandomForest,canary
0.75,acc,RandomForest,canary
0.4166666666666667,acc,RandomForest,canary
0.5833333333333334,acc,RandomForest,canary
0.75,acc,RandomForest,canary
0.8333333333333334,acc,RandomForest,canary
0.5,acc,RandomForest,canary
0.7619047619047619,roc,RandomForest,canary
0.7976190476190477,roc,RandomForest,canary
0.6428571428571429,roc,RandomForest,canary
0.7857142857142858,roc,RandomForest,canary
0.7999999999999999,roc,RandomForest,canary
0.4857142857142857,roc,RandomForest,canary
0.7361111111111112,roc,RandomForest,canary
0.9444444444444445,roc,RandomForest,canary
0.8333333333333335,roc,RandomForest,canary
0.6666666666666666,roc,RandomForest,canary
0.6666666666666666,fms,RandomForest,canary
0.6,fms,RandomForest,canary
0.7142857142857143,fms,RandomForest,canary
0.7272727272727272,fms,RandomForest,canary
0.7272727272727272,fms,RandomForest,canary
0.3636363636363636,fms,RandomForest,canary
0.6153846153846153,fms,RandomForest,canary
0.6666666666666666,fms,RandomForest,canary
0.8333333333333334,fms,RandomForest,canary
0.5714285714285715,fms,RandomForest,canary
0.6666666666666666,precision,RandomForest,canary
0.75,precision,RandomForest,canary
0.625,precision,RandomForest,canary
0.8,precision,RandomForest,canary
0.6666666666666666,precision,RandomForest,canary
0.3333333333333333,precision,RandomForest,canary
0.5714285714285714,precision,RandomForest,canary
1.0,precision,RandomForest,canary
0.8333333333333334,precision,RandomForest,canary
0.5,precision,RandomForest,canary
0.6666666666666666,recall,RandomForest,canary
0.5,recall,RandomForest,canary
0.8333333333333334,recall,RandomForest,canary
0.6666666666666666,recall,RandomForest,canary
0.8,recall,RandomForest,canary
0.4,recall,RandomForest,canary
0.6666666666666666,recall,RandomForest,canary
0.5,recall,RandomForest,canary
0.8333333333333334,recall,RandomForest,canary
0.6666666666666666,recall,RandomForest,canary
0.7142857142857143,specificity,RandomForest,canary
0.8571428571428571,specificity,RandomForest,canary
0.5714285714285714,specificity,RandomForest,canary
0.8571428571428571,specificity,RandomForest,canary
0.7142857142857143,specificity,RandomForest,canary
0.42857142857142855,specificity,RandomForest,canary
0.5,specificity,RandomForest,canary
1.0,specificity,RandomForest,canary
0.8333333333333334,specificity,RandomForest,canary
0.3333333333333333,specificity,RandomForest,canary
0.6153846153846154,acc,GausNaiveBayes,canary
0.46153846153846156,acc,GausNaiveBayes,canary
0.6923076923076923,acc,GausNaiveBayes,canary
0.7692307692307693,acc,GausNaiveBayes,canary
0.6666666666666666,acc,GausNaiveBayes,canary
0.5833333333333334,acc,GausNaiveBayes,canary
0.5833333333333334,acc,GausNaiveBayes,canary
0.75,acc,GausNaiveBayes,canary
0.6666666666666666,acc,GausNaiveBayes,canary
0.5833333333333334,acc,GausNaiveBayes,canary
0.6904761904761905,roc,GausNaiveBayes,canary
0.7142857142857142,roc,GausNaiveBayes,canary
0.7857142857142857,roc,GausNaiveBayes,canary
0.8095238095238095,roc,GausNaiveBayes,canary
0.6571428571428573,roc,GausNaiveBayes,canary
0.6000000000000001,roc,GausNaiveBayes,canary
0.5555555555555556,roc,GausNaiveBayes,canary
0.888888888888889,roc,GausNaiveBayes,canary
0.7777777777777778,roc,GausNaiveBayes,canary
0.6388888888888888,roc,GausNaiveBayes,canary
0.2857142857142857,fms,GausNaiveBayes,canary
0.3636363636363636,fms,GausNaiveBayes,canary
0.5,fms,GausNaiveBayes,canary
0.6666666666666666,fms,GausNaiveBayes,canary
0.6,fms,GausNaiveBayes,canary
0.4444444444444445,fms,GausNaiveBayes,canary
0.5454545454545454,fms,GausNaiveBayes,canary
0.6666666666666666,fms,GausNaiveBayes,canary
0.6666666666666666,fms,GausNaiveBayes,canary
0.5454545454545454,fms,GausNaiveBayes,canary
1.0,precision,GausNaiveBayes,canary
0.4,precision,GausNaiveBayes,canary
