1,metric,model
0.8235294117647058,acc,stack
0.7058823529411765,acc,stack
0.625,acc,stack
0.75,acc,stack
0.6875,acc,stack
0.625,acc,stack
0.5625,acc,stack
0.75,acc,stack
0.6875,acc,stack
0.75,acc,stack
0.9305555555555556,roc,stack
0.8642857142857142,roc,stack
0.775,roc,stack
0.873015873015873,roc,stack
0.8174603174603174,roc,stack
0.746031746031746,roc,stack
0.6746031746031746,roc,stack
0.8671875,roc,stack
0.6984126984126984,roc,stack
0.875,roc,stack
0.7999999999999999,fms,stack
0.7058823529411764,fms,stack
0.5,fms,stack
0.75,fms,stack
0.6666666666666666,fms,stack
0.6250000000000001,fms,stack
0.588235294117647,fms,stack
0.7142857142857143,fms,stack
0.6666666666666667,fms,stack
0.7777777777777777,fms,stack
0.8571428571428571,precision,stack
0.8571428571428571,precision,stack
0.5,precision,stack
0.6666666666666666,precision,stack
0.625,precision,stack
0.5555555555555556,precision,stack
0.5,precision,stack
0.8333333333333334,precision,stack
0.8333333333333334,precision,stack
0.875,precision,stack
0.75,recall,stack
0.6,recall,stack
0.5,recall,stack
0.8571428571428571,recall,stack
0.7142857142857143,recall,stack
0.7142857142857143,recall,stack
0.7142857142857143,recall,stack
0.625,recall,stack
0.5555555555555556,recall,stack
0.7,recall,stack
0.8888888888888888,specificity,stack
0.8571428571428571,specificity,stack
0.7,specificity,stack
0.6666666666666666,specificity,stack
0.6666666666666666,specificity,stack
0.5555555555555556,specificity,stack
0.4444444444444444,specificity,stack
0.875,specificity,stack
0.8571428571428571,specificity,stack
0.8333333333333334,specificity,stack
