1,metric,model
0.5294117647058824,acc,CookieTheft
0.8235294117647058,acc,CookieTheft
0.75,acc,CookieTheft
0.75,acc,CookieTheft
0.625,acc,CookieTheft
0.5625,acc,CookieTheft
0.6875,acc,CookieTheft
0.5625,acc,CookieTheft
0.625,acc,CookieTheft
0.6875,acc,CookieTheft
0.75,roc,CookieTheft
0.7928571428571429,roc,CookieTheft
0.8095238095238094,roc,CookieTheft
0.8333333333333333,roc,CookieTheft
0.8412698412698413,roc,CookieTheft
0.4921875,roc,CookieTheft
0.7166666666666667,roc,CookieTheft
0.703125,roc,CookieTheft
0.7578125,roc,CookieTheft
0.6500000000000001,roc,CookieTheft
0.42857142857142855,fms,CookieTheft
0.7692307692307692,fms,CookieTheft
0.75,fms,CookieTheft
0.7142857142857143,fms,CookieTheft
0.5,fms,CookieTheft
0.4615384615384615,fms,CookieTheft
0.4444444444444444,fms,CookieTheft
0.631578947368421,fms,CookieTheft
0.5,fms,CookieTheft
0.2857142857142857,fms,CookieTheft
1.0,precision,CookieTheft
0.8333333333333334,precision,CookieTheft
0.8571428571428571,precision,CookieTheft
0.7142857142857143,precision,CookieTheft
1.0,precision,CookieTheft
0.6,precision,CookieTheft
0.6666666666666666,precision,CookieTheft
0.5454545454545454,precision,CookieTheft
0.75,precision,CookieTheft
1.0,precision,CookieTheft
0.2727272727272727,recall,CookieTheft
0.7142857142857143,recall,CookieTheft
0.6666666666666666,recall,CookieTheft
0.7142857142857143,recall,CookieTheft
0.3333333333333333,recall,CookieTheft
0.375,recall,CookieTheft
0.3333333333333333,recall,CookieTheft
0.75,recall,CookieTheft
0.375,recall,CookieTheft
0.16666666666666666,recall,CookieTheft
1.0,specificity,CookieTheft
0.9,specificity,CookieTheft
0.8571428571428571,specificity,CookieTheft
0.7777777777777778,specificity,CookieTheft
1.0,specificity,CookieTheft
0.75,specificity,CookieTheft
0.9,specificity,CookieTheft
0.375,specificity,CookieTheft
0.875,specificity,CookieTheft
1.0,specificity,CookieTheft
