1,metric,model
0.8333333333333334,acc,PupilCalib
0.6666666666666666,acc,PupilCalib
0.6153846153846154,acc,PupilCalib
0.42857142857142855,acc,PupilCalib
0.7857142857142857,acc,PupilCalib
0.5833333333333334,acc,PupilCalib
0.75,acc,PupilCalib
0.9285714285714286,acc,PupilCalib
0.7272727272727273,acc,PupilCalib
0.25,acc,PupilCalib
0.6875,roc,PupilCalib
0.75,roc,PupilCalib
0.8500000000000001,roc,PupilCalib
0.48750000000000004,roc,PupilCalib
0.84375,roc,PupilCalib
0.6571428571428573,roc,PupilCalib
0.6944444444444444,roc,PupilCalib
0.8854166666666667,roc,PupilCalib
0.75,roc,PupilCalib
0.26388888888888884,roc,PupilCalib
0.875,fms,PupilCalib
0.6,fms,PupilCalib
0.6153846153846154,fms,PupilCalib
0.4285714285714285,fms,PupilCalib
0.8421052631578948,fms,PupilCalib
0.6153846153846154,fms,PupilCalib
0.7272727272727272,fms,PupilCalib
0.9411764705882353,fms,PupilCalib
0.7692307692307692,fms,PupilCalib
0.30769230769230765,fms,PupilCalib
0.875,precision,PupilCalib
0.5,precision,PupilCalib
0.5,precision,PupilCalib
0.3,precision,PupilCalib
0.7272727272727273,precision,PupilCalib
0.5,precision,PupilCalib
0.8,precision,PupilCalib
0.8888888888888888,precision,PupilCalib
0.7142857142857143,precision,PupilCalib
0.2857142857142857,precision,PupilCalib
0.875,recall,PupilCalib
0.75,recall,PupilCalib
0.8,recall,PupilCalib
0.75,recall,PupilCalib
1.0,recall,PupilCalib
0.8,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
1.0,recall,PupilCalib
0.8333333333333334,recall,PupilCalib
0.3333333333333333,recall,PupilCalib
0.75,specificity,PupilCalib
0.625,specificity,PupilCalib
0.5,specificity,PupilCalib
0.3,specificity,PupilCalib
0.5,specificity,PupilCalib
0.42857142857142855,specificity,PupilCalib
0.8333333333333334,specificity,PupilCalib
0.8333333333333334,specificity,PupilCalib
0.6,specificity,PupilCalib
0.16666666666666666,specificity,PupilCalib
