1,metric,model
0.7058823529411765,acc,Memory
0.5882352941176471,acc,Memory
0.5,acc,Memory
0.625,acc,Memory
0.8125,acc,Memory
0.625,acc,Memory
0.6875,acc,Memory
0.8125,acc,Memory
0.75,acc,Memory
0.625,acc,Memory
0.7430555555555556,roc,Memory
0.638888888888889,roc,Memory
0.5396825396825397,roc,Memory
0.6583333333333332,roc,Memory
0.9047619047619048,roc,Memory
0.6825396825396826,roc,Memory
0.8583333333333333,roc,Memory
0.8015873015873016,roc,Memory
0.7777777777777778,roc,Memory
0.7833333333333334,roc,Memory
0.6153846153846154,fms,Memory
0.5333333333333333,fms,Memory
0.5,fms,Memory
0.5,fms,Memory
0.7272727272727273,fms,Memory
0.5,fms,Memory
0.6666666666666666,fms,Memory
0.7692307692307692,fms,Memory
0.7142857142857143,fms,Memory
0.5714285714285715,fms,Memory
0.8,precision,Memory
0.5714285714285714,precision,Memory
0.5714285714285714,precision,Memory
0.5,precision,Memory
1.0,precision,Memory
0.6,precision,Memory
1.0,precision,Memory
0.8333333333333334,precision,Memory
0.7142857142857143,precision,Memory
1.0,precision,Memory
0.5,recall,Memory
0.5,recall,Memory
0.4444444444444444,recall,Memory
0.5,recall,Memory
0.5714285714285714,recall,Memory
0.42857142857142855,recall,Memory
0.5,recall,Memory
0.7142857142857143,recall,Memory
0.7142857142857143,recall,Memory
0.4,recall,Memory
0.8888888888888888,specificity,Memory
0.6666666666666666,specificity,Memory
0.5714285714285714,specificity,Memory
0.7,specificity,Memory
1.0,specificity,Memory
0.7777777777777778,specificity,Memory
1.0,specificity,Memory
0.8888888888888888,specificity,Memory
0.7777777777777778,specificity,Memory
1.0,specificity,Memory
