1,metric,model
0.6470588235294118,acc,stack
0.7058823529411765,acc,stack
0.5625,acc,stack
0.5,acc,stack
0.625,acc,stack
0.5625,acc,stack
0.6875,acc,stack
0.625,acc,stack
0.625,acc,stack
0.5625,acc,stack
0.7214285714285714,roc,stack
0.6736111111111112,roc,stack
0.5952380952380952,roc,stack
0.5238095238095238,roc,stack
0.6640625,roc,stack
0.7181818181818183,roc,stack
0.7545454545454546,roc,stack
0.6904761904761905,roc,stack
0.7142857142857143,roc,stack
0.6666666666666667,roc,stack
0.7,fms,stack
0.6666666666666666,fms,stack
0.4615384615384615,fms,stack
0.42857142857142855,fms,stack
0.625,fms,stack
0.5333333333333333,fms,stack
0.4444444444444445,fms,stack
0.5714285714285714,fms,stack
0.6666666666666666,fms,stack
0.5333333333333333,fms,stack
0.7,precision,stack
0.7142857142857143,precision,stack
0.5,precision,stack
0.42857142857142855,precision,stack
0.625,precision,stack
1.0,precision,stack
0.5,precision,stack
0.5714285714285714,precision,stack
0.6666666666666666,precision,stack
0.5,precision,stack
0.7,recall,stack
0.625,recall,stack
0.42857142857142855,recall,stack
0.42857142857142855,recall,stack
0.625,recall,stack
0.36363636363636365,recall,stack
0.4,recall,stack
0.5714285714285714,recall,stack
0.6666666666666666,recall,stack
0.5714285714285714,recall,stack
0.5714285714285714,specificity,stack
0.7777777777777778,specificity,stack
0.6666666666666666,specificity,stack
0.5555555555555556,specificity,stack
0.625,specificity,stack
1.0,specificity,stack
0.8181818181818182,specificity,stack
0.6666666666666666,specificity,stack
0.5714285714285714,specificity,stack
0.5555555555555556,specificity,stack
