1,metric,model
0.8125,acc,Eye
0.6,acc,Eye
0.5625,acc,Eye
0.5,acc,Eye
0.7333333333333333,acc,Eye
0.7692307692307693,acc,Eye
0.75,acc,Eye
0.6428571428571429,acc,Eye
0.6428571428571429,acc,Eye
0.6153846153846154,acc,Eye
0.746031746031746,roc,Eye
0.6428571428571428,roc,Eye
0.625,roc,Eye
0.5833333333333333,roc,Eye
0.7589285714285714,roc,Eye
0.7619047619047619,roc,Eye
0.738095238095238,roc,Eye
0.6212121212121213,roc,Eye
0.5625,roc,Eye
0.5249999999999999,roc,Eye
0.8571428571428571,fms,Eye
0.5,fms,Eye
0.5333333333333333,fms,Eye
0.4615384615384615,fms,Eye
0.75,fms,Eye
0.7999999999999999,fms,Eye
0.6,fms,Eye
0.7368421052631579,fms,Eye
0.4444444444444445,fms,Eye
0.5454545454545454,fms,Eye
0.75,precision,Eye
0.6,precision,Eye
0.4444444444444444,precision,Eye
0.42857142857142855,precision,Eye
0.6666666666666666,precision,Eye
0.75,precision,Eye
1.0,precision,Eye
0.875,precision,Eye
0.4,precision,Eye
0.5,precision,Eye
1.0,recall,Eye
0.42857142857142855,recall,Eye
0.6666666666666666,recall,Eye
0.5,recall,Eye
0.8571428571428571,recall,Eye
0.8571428571428571,recall,Eye
0.42857142857142855,recall,Eye
0.6363636363636364,recall,Eye
0.5,recall,Eye
0.6,recall,Eye
0.5714285714285714,specificity,Eye
0.75,specificity,Eye
0.5,specificity,Eye
0.5,specificity,Eye
0.625,specificity,Eye
0.6666666666666666,specificity,Eye
1.0,specificity,Eye
0.6666666666666666,specificity,Eye
0.7,specificity,Eye
0.625,specificity,Eye
