1,metric,model
0.5294117647058824,acc,Memory
0.6470588235294118,acc,Memory
0.8125,acc,Memory
0.6875,acc,Memory
0.8125,acc,Memory
0.625,acc,Memory
0.75,acc,Memory
0.5,acc,Memory
0.75,acc,Memory
0.75,acc,Memory
0.6363636363636364,roc,Memory
0.606060606060606,roc,Memory
0.9296875,roc,Memory
0.7142857142857143,roc,Memory
0.9083333333333333,roc,Memory
0.6666666666666666,roc,Memory
0.765625,roc,Memory
0.48181818181818176,roc,Memory
0.8125,roc,Memory
0.7460317460317459,roc,Memory
0.5000000000000001,fms,Memory
0.5,fms,Memory
0.7692307692307693,fms,Memory
0.7058823529411764,fms,Memory
0.7692307692307692,fms,Memory
0.5,fms,Memory
0.7777777777777777,fms,Memory
0.5555555555555556,fms,Memory
0.6666666666666666,fms,Memory
0.6666666666666666,fms,Memory
0.8,precision,Memory
0.5,precision,Memory
1.0,precision,Memory
0.6,precision,Memory
0.7142857142857143,precision,Memory
0.6,precision,Memory
0.7,precision,Memory
0.7142857142857143,precision,Memory
1.0,precision,Memory
0.8,precision,Memory
0.36363636363636365,recall,Memory
0.5,recall,Memory
0.625,recall,Memory
0.8571428571428571,recall,Memory
0.8333333333333334,recall,Memory
0.42857142857142855,recall,Memory
0.875,recall,Memory
0.45454545454545453,recall,Memory
0.5,recall,Memory
0.5714285714285714,recall,Memory
0.8333333333333334,specificity,Memory
0.7272727272727273,specificity,Memory
1.0,specificity,Memory
0.5555555555555556,specificity,Memory
0.8,specificity,Memory
0.7777777777777778,specificity,Memory
0.625,specificity,Memory
0.6,specificity,Memory
1.0,specificity,Memory
0.8888888888888888,specificity,Memory
