1,metric,model
0.7647058823529411,acc,Reading
0.8235294117647058,acc,Reading
0.6875,acc,Reading
0.8125,acc,Reading
0.75,acc,Reading
0.75,acc,Reading
0.8125,acc,Reading
0.5625,acc,Reading
0.875,acc,Reading
0.6875,acc,Reading
0.8106060606060606,roc,Reading
0.7250000000000001,roc,Reading
0.75,roc,Reading
0.7636363636363637,roc,Reading
0.78125,roc,Reading
0.8046875,roc,Reading
0.8888888888888888,roc,Reading
0.5793650793650793,roc,Reading
0.890625,roc,Reading
0.6984126984126984,roc,Reading
0.7142857142857143,fms,Reading
0.6666666666666665,fms,Reading
0.761904761904762,fms,Reading
0.5714285714285715,fms,Reading
0.75,fms,Reading
0.7142857142857143,fms,Reading
0.823529411764706,fms,Reading
0.5882352941176471,fms,Reading
0.8571428571428571,fms,Reading
0.6153846153846153,fms,Reading
0.625,precision,Reading
0.75,precision,Reading
0.8888888888888888,precision,Reading
1.0,precision,Reading
0.75,precision,Reading
0.8333333333333334,precision,Reading
0.875,precision,Reading
0.625,precision,Reading
1.0,precision,Reading
1.0,precision,Reading
0.8333333333333334,recall,Reading
0.6,recall,Reading
0.6666666666666666,recall,Reading
0.4,recall,Reading
0.75,recall,Reading
0.625,recall,Reading
0.7777777777777778,recall,Reading
0.5555555555555556,recall,Reading
0.75,recall,Reading
0.4444444444444444,recall,Reading
0.7272727272727273,specificity,Reading
0.9166666666666666,specificity,Reading
0.75,specificity,Reading
1.0,specificity,Reading
0.75,specificity,Reading
0.875,specificity,Reading
0.8571428571428571,specificity,Reading
0.5714285714285714,specificity,Reading
1.0,specificity,Reading
1.0,specificity,Reading
