1,metric,model
0.5882352941176471,acc,Audio
0.7058823529411765,acc,Audio
0.875,acc,Audio
0.625,acc,Audio
0.6875,acc,Audio
0.5625,acc,Audio
0.8125,acc,Audio
0.8125,acc,Audio
0.625,acc,Audio
0.625,acc,Audio
0.6142857142857142,roc,Audio
0.6736111111111112,roc,Audio
0.9453125,roc,Audio
0.5317460317460317,roc,Audio
0.7166666666666667,roc,Audio
0.4765625,roc,Audio
0.8125,roc,Audio
0.746031746031746,roc,Audio
0.6031746031746033,roc,Audio
0.5396825396825397,roc,Audio
0.5333333333333333,fms,Audio
0.6153846153846154,fms,Audio
0.8571428571428571,fms,Audio
0.5714285714285714,fms,Audio
0.7058823529411764,fms,Audio
0.5333333333333333,fms,Audio
0.7999999999999999,fms,Audio
0.7272727272727273,fms,Audio
0.5,fms,Audio
0.5714285714285714,fms,Audio
0.5,precision,Audio
0.8,precision,Audio
1.0,precision,Audio
0.5714285714285714,precision,Audio
0.8571428571428571,precision,Audio
0.5714285714285714,precision,Audio
0.8571428571428571,precision,Audio
1.0,precision,Audio
0.6,precision,Audio
0.8,precision,Audio
0.5714285714285714,recall,Audio
0.5,recall,Audio
0.75,recall,Audio
0.5714285714285714,recall,Audio
0.6,recall,Audio
0.5,recall,Audio
0.75,recall,Audio
0.5714285714285714,recall,Audio
0.42857142857142855,recall,Audio
0.4444444444444444,recall,Audio
0.6,specificity,Audio
0.8888888888888888,specificity,Audio
1.0,specificity,Audio
0.6666666666666666,specificity,Audio
0.8333333333333334,specificity,Audio
0.625,specificity,Audio
0.875,specificity,Audio
1.0,specificity,Audio
0.7777777777777778,specificity,Audio
0.8571428571428571,specificity,Audio
