1,metric,model
0.7692307692307693,acc,eye
0.8461538461538461,acc,eye
0.7692307692307693,acc,eye
0.8461538461538461,acc,eye
0.8461538461538461,acc,eye
0.6923076923076923,acc,eye
0.9166666666666666,acc,eye
0.5833333333333334,acc,eye
0.6666666666666666,acc,eye
0.75,acc,eye
0.8095238095238095,roc,eye
0.9523809523809523,roc,eye
0.7976190476190477,roc,eye
0.8571428571428572,roc,eye
0.8928571428571429,roc,eye
0.8452380952380952,roc,eye
0.9305555555555557,roc,eye
0.6805555555555556,roc,eye
0.7361111111111113,roc,eye
0.7222222222222223,roc,eye
0.7692307692307692,fms,eye
0.8,fms,eye
0.7692307692307692,fms,eye
0.8,fms,eye
0.8571428571428571,fms,eye
0.6666666666666666,fms,eye
0.9090909090909091,fms,eye
0.5454545454545454,fms,eye
0.6666666666666666,fms,eye
0.7272727272727272,fms,eye
0.7142857142857143,precision,eye
1.0,precision,eye
0.7142857142857143,precision,eye
1.0,precision,eye
0.75,precision,eye
0.6666666666666666,precision,eye
1.0,precision,eye
0.6,precision,eye
0.6666666666666666,precision,eye
0.8,precision,eye
0.8333333333333334,recall,eye
0.6666666666666666,recall,eye
0.8333333333333334,recall,eye
0.6666666666666666,recall,eye
1.0,recall,eye
0.6666666666666666,recall,eye
0.8333333333333334,recall,eye
0.5,recall,eye
0.6666666666666666,recall,eye
0.6666666666666666,recall,eye
0.7142857142857143,specificity,eye
1.0,specificity,eye
0.7142857142857143,specificity,eye
1.0,specificity,eye
0.7142857142857143,specificity,eye
0.7142857142857143,specificity,eye
1.0,specificity,eye
0.6666666666666666,specificity,eye
0.6666666666666666,specificity,eye
0.8333333333333334,specificity,eye
