1,metric,model
0.3076923076923077,acc,PupilCalib
0.6153846153846154,acc,PupilCalib
0.6923076923076923,acc,PupilCalib
0.46153846153846156,acc,PupilCalib
0.6153846153846154,acc,PupilCalib
0.6153846153846154,acc,PupilCalib
0.4166666666666667,acc,PupilCalib
0.5,acc,PupilCalib
0.5833333333333334,acc,PupilCalib
0.6666666666666666,acc,PupilCalib
0.3214285714285714,roc,PupilCalib
0.6309523809523809,roc,PupilCalib
0.6785714285714286,roc,PupilCalib
0.5357142857142857,roc,PupilCalib
0.7023809523809524,roc,PupilCalib
0.7738095238095238,roc,PupilCalib
0.5972222222222223,roc,PupilCalib
0.5972222222222222,roc,PupilCalib
0.888888888888889,roc,PupilCalib
0.8055555555555556,roc,PupilCalib
0.30769230769230765,fms,PupilCalib
0.5454545454545454,fms,PupilCalib
0.6666666666666666,fms,PupilCalib
0.4615384615384615,fms,PupilCalib
0.6153846153846153,fms,PupilCalib
0.4444444444444444,fms,PupilCalib
0.3636363636363636,fms,PupilCalib
0.5714285714285715,fms,PupilCalib
0.6666666666666667,fms,PupilCalib
0.7142857142857143,fms,PupilCalib
0.2857142857142857,precision,PupilCalib
0.6,precision,PupilCalib
0.6666666666666666,precision,PupilCalib
0.42857142857142855,precision,PupilCalib
0.5714285714285714,precision,PupilCalib
0.6666666666666666,precision,PupilCalib
0.4,precision,PupilCalib
0.5,precision,PupilCalib
0.5555555555555556,precision,PupilCalib
0.625,precision,PupilCalib
0.3333333333333333,recall,PupilCalib
0.5,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
0.5,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
0.3333333333333333,recall,PupilCalib
0.3333333333333333,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
0.8333333333333334,recall,PupilCalib
0.8333333333333334,recall,PupilCalib
0.2857142857142857,specificity,PupilCalib
0.7142857142857143,specificity,PupilCalib
0.7142857142857143,specificity,PupilCalib
0.42857142857142855,specificity,PupilCalib
0.5714285714285714,specificity,PupilCalib
0.8571428571428571,specificity,PupilCalib
0.5,specificity,PupilCalib
0.3333333333333333,specificity,PupilCalib
0.3333333333333333,specificity,PupilCalib
0.5,specificity,PupilCalib
