1,metric,model
1.0,acc,eye
0.6153846153846154,acc,eye
0.5384615384615384,acc,eye
0.6153846153846154,acc,eye
0.5,acc,eye
0.5833333333333334,acc,eye
0.75,acc,eye
0.75,acc,eye
0.75,acc,eye
0.4166666666666667,acc,eye
1.0,roc,eye
0.5952380952380952,roc,eye
0.5238095238095237,roc,eye
0.5476190476190476,roc,eye
0.5285714285714286,roc,eye
0.6428571428571428,roc,eye
0.75,roc,eye
0.8472222222222223,roc,eye
0.8611111111111112,roc,eye
0.5277777777777777,roc,eye
1.0,fms,eye
0.5454545454545454,fms,eye
0.4,fms,eye
0.5454545454545454,fms,eye
0.4000000000000001,fms,eye
0.5454545454545454,fms,eye
0.7272727272727272,fms,eye
0.7692307692307692,fms,eye
0.7272727272727272,fms,eye
0.3636363636363636,fms,eye
1.0,precision,eye
0.6,precision,eye
0.5,precision,eye
0.6,precision,eye
0.4,precision,eye
0.5,precision,eye
0.8,precision,eye
0.7142857142857143,precision,eye
0.8,precision,eye
0.4,precision,eye
1.0,recall,eye
0.5,recall,eye
0.3333333333333333,recall,eye
0.5,recall,eye
0.4,recall,eye
0.6,recall,eye
0.6666666666666666,recall,eye
0.8333333333333334,recall,eye
0.6666666666666666,recall,eye
0.3333333333333333,recall,eye
1.0,specificity,eye
0.7142857142857143,specificity,eye
0.7142857142857143,specificity,eye
0.7142857142857143,specificity,eye
0.5714285714285714,specificity,eye
0.5714285714285714,specificity,eye
0.8333333333333334,specificity,eye
0.6666666666666666,specificity,eye
0.8333333333333334,specificity,eye
0.5,specificity,eye
0.7692307692307693,acc,speech
0.5384615384615384,acc,speech
0.8461538461538461,acc,speech
0.5384615384615384,acc,speech
0.75,acc,speech
0.6666666666666666,acc,speech
0.5833333333333334,acc,speech
0.8333333333333334,acc,speech
0.6666666666666666,acc,speech
0.8333333333333334,acc,speech
0.8809523809523809,roc,speech
0.5595238095238095,roc,speech
0.8095238095238095,roc,speech
0.6071428571428571,roc,speech
0.8142857142857144,roc,speech
0.8,roc,speech
0.75,roc,speech
0.8333333333333333,roc,speech
0.8055555555555556,roc,speech
0.8611111111111113,roc,speech
0.8,fms,speech
0.5714285714285715,fms,speech
0.8,fms,speech
0.25,fms,speech
0.7272727272727272,fms,speech
0.6666666666666666,fms,speech
0.2857142857142857,fms,speech
0.8,fms,speech
0.6,fms,speech
0.8,fms,speech
0.6666666666666666,precision,speech
0.5,precision,speech
1.0,precision,speech
0.5,precision,speech
0.6666666666666666,precision,speech
0.5714285714285714,precision,speech
1.0,precision,speech
1.0,precision,speech
0.75,precision,speech
1.0,precision,speech
1.0,recall,speech
0.6666666666666666,recall,speech
0.6666666666666666,recall,speech
0.16666666666666666,recall,speech
0.8,recall,speech
0.8,recall,speech
0.16666666666666666,recall,speech
0.6666666666666666,recall,speech
0.5,recall,speech
0.6666666666666666,recall,speech
0.5714285714285714,specificity,speech
0.42857142857142855,specificity,speech
1.0,specificity,speech
0.8571428571428571,specificity,speech
0.7142857142857143,specificity,speech
0.5714285714285714,specificity,speech
1.0,specificity,speech
1.0,specificity,speech
0.8333333333333334,specificity,speech
1.0,specificity,speech
