1,metric,model
0.6923076923076923,acc,PupilCalib
0.5384615384615384,acc,PupilCalib
0.6923076923076923,acc,PupilCalib
0.6153846153846154,acc,PupilCalib
0.6923076923076923,acc,PupilCalib
0.6153846153846154,acc,PupilCalib
0.5833333333333334,acc,PupilCalib
0.5833333333333334,acc,PupilCalib
0.4166666666666667,acc,PupilCalib
0.75,acc,PupilCalib
0.7023809523809523,roc,PupilCalib
0.6666666666666667,roc,PupilCalib
0.7857142857142857,roc,PupilCalib
0.6904761904761905,roc,PupilCalib
0.9285714285714286,roc,PupilCalib
0.6547619047619048,roc,PupilCalib
0.6805555555555556,roc,PupilCalib
0.5555555555555556,roc,PupilCalib
0.38888888888888884,roc,PupilCalib
0.6944444444444446,roc,PupilCalib
0.6,fms,PupilCalib
0.5714285714285715,fms,PupilCalib
0.6666666666666666,fms,PupilCalib
0.6153846153846153,fms,PupilCalib
0.6,fms,PupilCalib
0.4444444444444444,fms,PupilCalib
0.5454545454545454,fms,PupilCalib
0.6666666666666667,fms,PupilCalib
0.3636363636363636,fms,PupilCalib
0.7692307692307692,fms,PupilCalib
0.75,precision,PupilCalib
0.5,precision,PupilCalib
0.6666666666666666,precision,PupilCalib
0.5714285714285714,precision,PupilCalib
0.75,precision,PupilCalib
0.6666666666666666,precision,PupilCalib
0.6,precision,PupilCalib
0.5555555555555556,precision,PupilCalib
0.4,precision,PupilCalib
0.7142857142857143,precision,PupilCalib
0.5,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
0.5,recall,PupilCalib
0.3333333333333333,recall,PupilCalib
0.5,recall,PupilCalib
0.8333333333333334,recall,PupilCalib
0.3333333333333333,recall,PupilCalib
0.8333333333333334,recall,PupilCalib
0.8571428571428571,specificity,PupilCalib
0.42857142857142855,specificity,PupilCalib
0.7142857142857143,specificity,PupilCalib
0.5714285714285714,specificity,PupilCalib
0.8571428571428571,specificity,PupilCalib
0.8571428571428571,specificity,PupilCalib
0.6666666666666666,specificity,PupilCalib
0.3333333333333333,specificity,PupilCalib
0.5,specificity,PupilCalib
0.6666666666666666,specificity,PupilCalib
0.7647058823529411,acc,Memory
0.7647058823529411,acc,Memory
0.75,acc,Memory
0.625,acc,Memory
0.625,acc,Memory
0.625,acc,Memory
0.8125,acc,Memory
0.6875,acc,Memory
0.375,acc,Memory
0.625,acc,Memory
0.7708333333333333,roc,Memory
0.7222222222222222,roc,Memory
0.8203125,roc,Memory
0.7265625,roc,Memory
0.703125,roc,Memory
0.5390625,roc,Memory
0.859375,roc,Memory
0.765625,roc,Memory
0.34375,roc,Memory
0.7539682539682541,roc,Memory
0.7142857142857143,fms,Memory
0.6666666666666666,fms,Memory
0.75,fms,Memory
0.6666666666666665,fms,Memory
0.5714285714285715,fms,Memory
0.5714285714285715,fms,Memory
0.7999999999999999,fms,Memory
0.6666666666666666,fms,Memory
0.4444444444444445,fms,Memory
0.6250000000000001,fms,Memory
0.8333333333333334,precision,Memory
1.0,precision,Memory
0.75,precision,Memory
0.6,precision,Memory
0.6666666666666666,precision,Memory
0.6666666666666666,precision,Memory
0.8571428571428571,precision,Memory
0.7142857142857143,precision,Memory
0.4,precision,Memory
0.5555555555555556,precision,Memory
0.625,recall,Memory
0.5,recall,Memory
0.75,recall,Memory
0.75,recall,Memory
0.5,recall,Memory
0.5,recall,Memory
0.75,recall,Memory
0.625,recall,Memory
0.5,recall,Memory
0.7142857142857143,recall,Memory
0.8888888888888888,specificity,Memory
1.0,specificity,Memory
0.75,specificity,Memory
0.5,specificity,Memory
0.75,specificity,Memory
0.75,specificity,Memory
0.875,specificity,Memory
0.75,specificity,Memory
0.25,specificity,Memory
0.5555555555555556,specificity,Memory
