1,metric,model
0.38461538461538464,acc,PupilCalib
0.6153846153846154,acc,PupilCalib
0.5384615384615384,acc,PupilCalib
0.3076923076923077,acc,PupilCalib
0.7692307692307693,acc,PupilCalib
0.6923076923076923,acc,PupilCalib
0.6666666666666666,acc,PupilCalib
0.5833333333333334,acc,PupilCalib
0.6666666666666666,acc,PupilCalib
0.5833333333333334,acc,PupilCalib
0.511904761904762,roc,PupilCalib
0.6904761904761905,roc,PupilCalib
0.5476190476190476,roc,PupilCalib
0.3571428571428571,roc,PupilCalib
0.8333333333333335,roc,PupilCalib
0.7023809523809523,roc,PupilCalib
0.6111111111111112,roc,PupilCalib
0.5555555555555556,roc,PupilCalib
0.6944444444444446,roc,PupilCalib
0.6666666666666666,roc,PupilCalib
0.3333333333333333,fms,PupilCalib
0.4444444444444444,fms,PupilCalib
0.5714285714285715,fms,PupilCalib
0.30769230769230765,fms,PupilCalib
0.6666666666666666,fms,PupilCalib
0.6666666666666666,fms,PupilCalib
0.6,fms,PupilCalib
0.5454545454545454,fms,PupilCalib
0.6666666666666666,fms,PupilCalib
0.6153846153846153,fms,PupilCalib
0.3333333333333333,precision,PupilCalib
0.6666666666666666,precision,PupilCalib
0.5,precision,PupilCalib
0.2857142857142857,precision,PupilCalib
1.0,precision,PupilCalib
0.6666666666666666,precision,PupilCalib
0.75,precision,PupilCalib
0.6,precision,PupilCalib
0.6666666666666666,precision,PupilCalib
0.5714285714285714,precision,PupilCalib
0.3333333333333333,recall,PupilCalib
0.3333333333333333,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
0.3333333333333333,recall,PupilCalib
0.5,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
0.5,recall,PupilCalib
0.5,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
0.42857142857142855,specificity,PupilCalib
0.8571428571428571,specificity,PupilCalib
0.42857142857142855,specificity,PupilCalib
0.2857142857142857,specificity,PupilCalib
1.0,specificity,PupilCalib
0.7142857142857143,specificity,PupilCalib
0.8333333333333334,specificity,PupilCalib
0.6666666666666666,specificity,PupilCalib
0.6666666666666666,specificity,PupilCalib
0.5,specificity,PupilCalib
0.6470588235294118,acc,Memory
0.8235294117647058,acc,Memory
0.6875,acc,Memory
0.5,acc,Memory
0.8125,acc,Memory
0.5,acc,Memory
0.8125,acc,Memory
0.6875,acc,Memory
0.625,acc,Memory
0.5625,acc,Memory
0.6527777777777778,roc,Memory
0.8611111111111112,roc,Memory
0.734375,roc,Memory
0.53125,roc,Memory
0.8046875,roc,Memory
0.5,roc,Memory
0.8828125,roc,Memory
0.90625,roc,Memory
0.625,roc,Memory
0.6825396825396826,roc,Memory
0.625,fms,Memory
0.823529411764706,fms,Memory
0.6666666666666666,fms,Memory
0.3333333333333333,fms,Memory
0.823529411764706,fms,Memory
0.5,fms,Memory
0.7999999999999999,fms,Memory
0.7058823529411765,fms,Memory
0.5,fms,Memory
0.5333333333333333,fms,Memory
0.625,precision,Memory
0.7777777777777778,precision,Memory
0.7142857142857143,precision,Memory
0.5,precision,Memory
0.7777777777777778,precision,Memory
0.5,precision,Memory
0.8571428571428571,precision,Memory
0.6666666666666666,precision,Memory
0.75,precision,Memory
0.5,precision,Memory
0.625,recall,Memory
0.875,recall,Memory
0.625,recall,Memory
0.25,recall,Memory
0.875,recall,Memory
0.5,recall,Memory
0.75,recall,Memory
0.75,recall,Memory
0.375,recall,Memory
0.5714285714285714,recall,Memory
0.6666666666666666,specificity,Memory
0.7777777777777778,specificity,Memory
0.75,specificity,Memory
0.75,specificity,Memory
0.75,specificity,Memory
0.5,specificity,Memory
0.875,specificity,Memory
0.625,specificity,Memory
0.875,specificity,Memory
0.5555555555555556,specificity,Memory
