1,metric,model
0.5384615384615384,acc,eye
0.7692307692307693,acc,eye
0.6153846153846154,acc,eye
0.7692307692307693,acc,eye
0.75,acc,eye
0.5833333333333334,acc,eye
0.6666666666666666,acc,eye
0.6666666666666666,acc,eye
0.75,acc,eye
0.5,acc,eye
0.6071428571428571,roc,eye
0.7857142857142857,roc,eye
0.7023809523809522,roc,eye
0.7976190476190477,roc,eye
0.7714285714285714,roc,eye
0.5714285714285714,roc,eye
0.625,roc,eye
0.8333333333333333,roc,eye
0.8333333333333334,roc,eye
0.5833333333333333,roc,eye
0.4,fms,eye
0.7272727272727272,fms,eye
0.6153846153846153,fms,eye
0.7272727272727272,fms,eye
0.7272727272727272,fms,eye
0.4444444444444445,fms,eye
0.7142857142857143,fms,eye
0.5,fms,eye
0.7272727272727272,fms,eye
0.5714285714285715,fms,eye
0.5,precision,eye
0.8,precision,eye
0.5714285714285714,precision,eye
0.8,precision,eye
0.6666666666666666,precision,eye
0.5,precision,eye
0.625,precision,eye
1.0,precision,eye
0.8,precision,eye
0.5,precision,eye
0.3333333333333333,recall,eye
0.6666666666666666,recall,eye
0.6666666666666666,recall,eye
0.6666666666666666,recall,eye
0.8,recall,eye
0.4,recall,eye
0.8333333333333334,recall,eye
0.3333333333333333,recall,eye
0.6666666666666666,recall,eye
0.6666666666666666,recall,eye
0.7142857142857143,specificity,eye
0.8571428571428571,specificity,eye
0.5714285714285714,specificity,eye
0.8571428571428571,specificity,eye
0.7142857142857143,specificity,eye
0.7142857142857143,specificity,eye
0.5,specificity,eye
1.0,specificity,eye
0.8333333333333334,specificity,eye
0.3333333333333333,specificity,eye
0.6923076923076923,acc,speech
0.7692307692307693,acc,speech
0.6923076923076923,acc,speech
0.6923076923076923,acc,speech
0.6666666666666666,acc,speech
0.6666666666666666,acc,speech
0.6666666666666666,acc,speech
0.8333333333333334,acc,speech
0.5833333333333334,acc,speech
0.8333333333333334,acc,speech
0.7857142857142857,roc,speech
0.892857142857143,roc,speech
0.7619047619047619,roc,speech
0.8095238095238096,roc,speech
0.7428571428571428,roc,speech
0.8714285714285714,roc,speech
0.6527777777777779,roc,speech
0.7916666666666669,roc,speech
0.6388888888888888,roc,speech
0.8055555555555556,roc,speech
0.5,fms,speech
0.7692307692307692,fms,speech
0.6,fms,speech
0.6666666666666666,fms,speech
0.6,fms,speech
0.6666666666666666,fms,speech
0.7142857142857143,fms,speech
0.8333333333333334,fms,speech
0.6153846153846153,fms,speech
0.8,fms,speech
1.0,precision,speech
0.7142857142857143,precision,speech
0.75,precision,speech
0.6666666666666666,precision,speech
0.6,precision,speech
0.5714285714285714,precision,speech
0.625,precision,speech
0.8333333333333334,precision,speech
0.5714285714285714,precision,speech
1.0,precision,speech
0.3333333333333333,recall,speech
0.8333333333333334,recall,speech
0.5,recall,speech
0.6666666666666666,recall,speech
0.6,recall,speech
0.8,recall,speech
0.8333333333333334,recall,speech
0.8333333333333334,recall,speech
0.6666666666666666,recall,speech
0.6666666666666666,recall,speech
1.0,specificity,speech
0.7142857142857143,specificity,speech
0.8571428571428571,specificity,speech
0.7142857142857143,specificity,speech
0.7142857142857143,specificity,speech
0.5714285714285714,specificity,speech
0.5,specificity,speech
0.8333333333333334,specificity,speech
0.5,specificity,speech
1.0,specificity,speech
