1,metric,model
0.7058823529411765,acc,speech
0.47058823529411764,acc,speech
0.625,acc,speech
0.9375,acc,speech
0.625,acc,speech
0.75,acc,speech
0.625,acc,speech
0.6875,acc,speech
0.625,acc,speech
0.75,acc,speech
0.7152777777777778,roc,speech
0.45833333333333337,roc,speech
0.765625,roc,speech
0.921875,roc,speech
0.6328125,roc,speech
0.765625,roc,speech
0.7421875,roc,speech
0.8671875,roc,speech
0.5625,roc,speech
0.7936507936507937,roc,speech
0.6666666666666666,fms,speech
0.39999999999999997,fms,speech
0.5,fms,speech
0.9333333333333333,fms,speech
0.5,fms,speech
0.7142857142857143,fms,speech
0.625,fms,speech
0.7058823529411765,fms,speech
0.5714285714285715,fms,speech
0.7142857142857143,fms,speech
0.7142857142857143,precision,speech
0.42857142857142855,precision,speech
0.75,precision,speech
1.0,precision,speech
0.75,precision,speech
0.8333333333333334,precision,speech
0.625,precision,speech
0.6666666666666666,precision,speech
0.6666666666666666,precision,speech
0.7142857142857143,precision,speech
0.625,recall,speech
0.375,recall,speech
0.375,recall,speech
0.875,recall,speech
0.375,recall,speech
0.625,recall,speech
0.625,recall,speech
0.75,recall,speech
0.5,recall,speech
0.7142857142857143,recall,speech
0.7777777777777778,specificity,speech
0.5555555555555556,specificity,speech
0.875,specificity,speech
1.0,specificity,speech
0.875,specificity,speech
0.875,specificity,speech
0.625,specificity,speech
0.625,specificity,speech
0.75,specificity,speech
0.7777777777777778,specificity,speech
