1,metric,model
0.8461538461538461,acc,eye
0.6153846153846154,acc,eye
0.5384615384615384,acc,eye
0.7692307692307693,acc,eye
0.7692307692307693,acc,eye
0.6153846153846154,acc,eye
0.8333333333333334,acc,eye
0.6666666666666666,acc,eye
0.8333333333333334,acc,eye
0.6666666666666666,acc,eye
0.8928571428571428,roc,eye
0.7261904761904762,roc,eye
0.6428571428571428,roc,eye
0.9047619047619047,roc,eye
0.9285714285714286,roc,eye
0.4761904761904762,roc,eye
0.7916666666666669,roc,eye
0.6527777777777778,roc,eye
0.9166666666666667,roc,eye
0.7638888888888888,roc,eye
0.8571428571428571,fms,eye
0.5454545454545454,fms,eye
0.5,fms,eye
0.7272727272727272,fms,eye
0.7692307692307692,fms,eye
0.4444444444444444,fms,eye
0.8333333333333334,fms,eye
0.6,fms,eye
0.8,fms,eye
0.6,fms,eye
0.75,precision,eye
0.6,precision,eye
0.5,precision,eye
0.8,precision,eye
0.7142857142857143,precision,eye
0.6666666666666666,precision,eye
0.8333333333333334,precision,eye
0.75,precision,eye
1.0,precision,eye
0.75,precision,eye
1.0,recall,eye
0.5,recall,eye
0.5,recall,eye
0.6666666666666666,recall,eye
0.8333333333333334,recall,eye
0.3333333333333333,recall,eye
0.8333333333333334,recall,eye
0.5,recall,eye
0.6666666666666666,recall,eye
0.5,recall,eye
0.7142857142857143,specificity,eye
0.7142857142857143,specificity,eye
0.5714285714285714,specificity,eye
0.8571428571428571,specificity,eye
0.7142857142857143,specificity,eye
0.8571428571428571,specificity,eye
0.8333333333333334,specificity,eye
0.8333333333333334,specificity,eye
1.0,specificity,eye
0.8333333333333334,specificity,eye
