1,metric,model
0.6923076923076923,acc,eye
0.6153846153846154,acc,eye
0.6153846153846154,acc,eye
0.6923076923076923,acc,eye
0.9166666666666666,acc,eye
0.6666666666666666,acc,eye
0.6666666666666666,acc,eye
0.5,acc,eye
0.6666666666666666,acc,eye
0.6666666666666666,acc,eye
0.9166666666666666,roc,eye
0.6547619047619047,roc,eye
0.6190476190476191,roc,eye
0.7142857142857143,roc,eye
1.0,roc,eye
0.7857142857142856,roc,eye
0.6805555555555556,roc,eye
0.5138888888888888,roc,eye
0.638888888888889,roc,eye
0.7083333333333333,roc,eye
0.7142857142857143,fms,eye
0.6153846153846153,fms,eye
0.6153846153846153,fms,eye
0.6,fms,eye
0.888888888888889,fms,eye
0.6666666666666666,fms,eye
0.5,fms,eye
0.5,fms,eye
0.6666666666666666,fms,eye
0.6,fms,eye
0.625,precision,eye
0.5714285714285714,precision,eye
0.5714285714285714,precision,eye
0.75,precision,eye
1.0,precision,eye
0.5714285714285714,precision,eye
1.0,precision,eye
0.5,precision,eye
0.6666666666666666,precision,eye
0.75,precision,eye
0.8333333333333334,recall,eye
0.6666666666666666,recall,eye
0.6666666666666666,recall,eye
0.5,recall,eye
0.8,recall,eye
0.8,recall,eye
0.3333333333333333,recall,eye
0.5,recall,eye
0.6666666666666666,recall,eye
0.5,recall,eye
0.5714285714285714,specificity,eye
0.5714285714285714,specificity,eye
0.5714285714285714,specificity,eye
0.8571428571428571,specificity,eye
1.0,specificity,eye
0.5714285714285714,specificity,eye
1.0,specificity,eye
0.5,specificity,eye
0.6666666666666666,specificity,eye
0.8333333333333334,specificity,eye
