1,metric,model
0.8461538461538461,acc,speech
0.6923076923076923,acc,speech
0.5384615384615384,acc,speech
0.6923076923076923,acc,speech
0.75,acc,speech
0.5,acc,speech
0.6666666666666666,acc,speech
0.6666666666666666,acc,speech
0.8333333333333334,acc,speech
0.4166666666666667,acc,speech
0.8333333333333333,roc,speech
0.7976190476190477,roc,speech
0.6428571428571429,roc,speech
0.6666666666666665,roc,speech
0.7428571428571429,roc,speech
0.6285714285714286,roc,speech
0.8333333333333334,roc,speech
0.7083333333333334,roc,speech
0.875,roc,speech
0.5416666666666666,roc,speech
0.8,fms,speech
0.6666666666666666,fms,speech
0.5714285714285715,fms,speech
0.6666666666666666,fms,speech
0.7272727272727272,fms,speech
0.4000000000000001,fms,speech
0.6,fms,speech
0.6,fms,speech
0.8,fms,speech
0.2222222222222222,fms,speech
1.0,precision,speech
0.6666666666666666,precision,speech
0.5,precision,speech
0.6666666666666666,precision,speech
0.6666666666666666,precision,speech
0.4,precision,speech
0.75,precision,speech
0.75,precision,speech
1.0,precision,speech
0.3333333333333333,precision,speech
0.6666666666666666,recall,speech
0.6666666666666666,recall,speech
0.6666666666666666,recall,speech
0.6666666666666666,recall,speech
0.8,recall,speech
0.4,recall,speech
0.5,recall,speech
0.5,recall,speech
0.6666666666666666,recall,speech
0.16666666666666666,recall,speech
1.0,specificity,speech
0.7142857142857143,specificity,speech
0.42857142857142855,specificity,speech
0.7142857142857143,specificity,speech
0.7142857142857143,specificity,speech
0.5714285714285714,specificity,speech
0.8333333333333334,specificity,speech
0.8333333333333334,specificity,speech
1.0,specificity,speech
0.6666666666666666,specificity,speech
