1,metric,model
0.5882352941176471,acc,speech
0.47058823529411764,acc,speech
0.5625,acc,speech
0.6875,acc,speech
0.8125,acc,speech
0.75,acc,speech
0.625,acc,speech
0.625,acc,speech
0.875,acc,speech
0.75,acc,speech
0.6111111111111112,roc,speech
0.5208333333333334,roc,speech
0.625,roc,speech
0.734375,roc,speech
0.828125,roc,speech
0.7734375,roc,speech
0.7734375,roc,speech
0.59375,roc,speech
0.9375,roc,speech
0.6904761904761905,roc,speech
0.5882352941176471,fms,speech
0.3076923076923077,fms,speech
0.5882352941176471,fms,speech
0.6153846153846154,fms,speech
0.7999999999999999,fms,speech
0.6666666666666666,fms,speech
0.625,fms,speech
0.5714285714285715,fms,speech
0.888888888888889,fms,speech
0.6666666666666666,fms,speech
0.5555555555555556,precision,speech
0.4,precision,speech
0.5555555555555556,precision,speech
0.8,precision,speech
0.8571428571428571,precision,speech
1.0,precision,speech
0.625,precision,speech
0.6666666666666666,precision,speech
0.8,precision,speech
0.8,precision,speech
0.625,recall,speech
0.25,recall,speech
0.625,recall,speech
0.5,recall,speech
0.75,recall,speech
0.5,recall,speech
0.625,recall,speech
0.5,recall,speech
1.0,recall,speech
0.5714285714285714,recall,speech
0.5555555555555556,specificity,speech
0.6666666666666666,specificity,speech
0.5,specificity,speech
0.875,specificity,speech
0.875,specificity,speech
1.0,specificity,speech
0.625,specificity,speech
0.75,specificity,speech
0.75,specificity,speech
0.8888888888888888,specificity,speech
