settings,model,acc,roc,f1,precision,recall,specificity,acc_sd,f1_sd,prec_sd,rec_sd,roc_sd,spec_sd
Basic,eye,0.6,0.65,0.6,0.59,0.63,0.57,,,,,,
Basic,speech,,,,,,,,,,,,
Basic,Memory,,,,,,,,,,,,
Basic,PupilCalib,,,,,,,,,,,,
_Reading,eye,0.67,0.71,0.61,0.67,0.57,0.76,,,,,,
_Reading,speech,0.71,0.75,0.67,0.75,0.64,0.77,,,,,,
_Reading,Memory,,,,,,,,,,,,
_Reading,PupilCalib,,,,,,,,,,,,
,eye,0.67,0.73,0.62,0.68,0.6,0.74,,,,,,
,speech,,,,,,,,,,,,
,Memory,,,,,,,,,,,,
,PupilCalib,,,,,,,,,,,,
ory,eye,,,,,,,,,,,,
ory,speech,,,,,,,,,,,,
ory,Memory,0.67,0.71,0.63,0.71,0.59,0.75,,,,,,
ory,PupilCalib,,,,,,,,,,,,
io,eye,,,,,,,,,,,,
io,speech,0.67,0.71,0.63,0.71,0.59,0.75,,,,,,
io,Memory,,,,,,,,,,,,
io,PupilCalib,,,,,,,,,,,,
guage,eye,,,,,,,,,,,,
guage,speech,0.63,0.7,0.57,0.64,0.53,0.71,,,,,,
guage,Memory,,,,,,,,,,,,
guage,PupilCalib,,,,,,,,,,,,
ilCalib,eye,,,,,,,,,,,,
ilCalib,speech,,,,,,,,,,,,
ilCalib,Memory,,,,,,,,,,,,
ilCalib,PupilCalib,0.6,0.65,0.6,0.59,0.63,0.57,,,,,,
