1,metric,model
0.625,acc,RandomForest
0.38461538461538464,acc,RandomForest
0.45454545454545453,acc,RandomForest
0.7272727272727273,acc,RandomForest
0.7,acc,RandomForest
0.5333333333333333,acc,RandomForest
0.7333333333333333,acc,RandomForest
0.5,acc,RandomForest
0.7272727272727273,acc,RandomForest
0.5,acc,RandomForest
0.7777777777777778,roc,RandomForest
0.575,roc,RandomForest
0.5,roc,RandomForest
0.8541666666666666,roc,RandomForest
0.875,roc,RandomForest
0.38636363636363635,roc,RandomForest
0.7962962962962963,roc,RandomForest
0.5694444444444444,roc,RandomForest
0.7666666666666667,roc,RandomForest
0.3194444444444445,roc,RandomForest
0.5714285714285714,fms,RandomForest
0.20000000000000004,fms,RandomForest
0.25,fms,RandomForest
0.5714285714285715,fms,RandomForest
0.5714285714285715,fms,RandomForest
0.631578947368421,fms,RandomForest
0.7999999999999999,fms,RandomForest
0.5,fms,RandomForest
0.6666666666666665,fms,RandomForest
0.5714285714285715,fms,RandomForest
0.8,precision,RandomForest
0.2,precision,RandomForest
0.25,precision,RandomForest
0.5,precision,RandomForest
0.4,precision,RandomForest
0.75,precision,RandomForest
0.7272727272727273,precision,RandomForest
0.5,precision,RandomForest
0.75,precision,RandomForest
0.5,precision,RandomForest
0.4444444444444444,recall,RandomForest
0.2,recall,RandomForest
0.25,recall,RandomForest
0.6666666666666666,recall,RandomForest
1.0,recall,RandomForest
0.5454545454545454,recall,RandomForest
0.8888888888888888,recall,RandomForest
0.5,recall,RandomForest
0.6,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.8571428571428571,specificity,RandomForest
0.5,specificity,RandomForest
0.5714285714285714,specificity,RandomForest
0.75,specificity,RandomForest
0.625,specificity,RandomForest
0.5,specificity,RandomForest
0.5,specificity,RandomForest
0.5,specificity,RandomForest
0.8333333333333334,specificity,RandomForest
0.3333333333333333,specificity,RandomForest
0.5833333333333334,acc,GausNaiveBayes
0.5714285714285714,acc,GausNaiveBayes
0.7272727272727273,acc,GausNaiveBayes
0.6923076923076923,acc,GausNaiveBayes
0.6,acc,GausNaiveBayes
0.8,acc,GausNaiveBayes
0.7692307692307693,acc,GausNaiveBayes
0.7272727272727273,acc,GausNaiveBayes
0.5,acc,GausNaiveBayes
0.7692307692307693,acc,GausNaiveBayes
0.8,roc,GausNaiveBayes
0.6326530612244898,roc,GausNaiveBayes
0.8,roc,GausNaiveBayes
0.7619047619047619,roc,GausNaiveBayes
0.6666666666666666,roc,GausNaiveBayes
0.8571428571428572,roc,GausNaiveBayes
0.8333333333333334,roc,GausNaiveBayes
0.5,roc,GausNaiveBayes
0.5208333333333333,roc,GausNaiveBayes
0.875,roc,GausNaiveBayes
0.6153846153846154,fms,GausNaiveBayes
0.5714285714285714,fms,GausNaiveBayes
0.7272727272727272,fms,GausNaiveBayes
0.75,fms,GausNaiveBayes
0.6250000000000001,fms,GausNaiveBayes
0.7499999999999999,fms,GausNaiveBayes
0.7272727272727273,fms,GausNaiveBayes
0.823529411764706,fms,GausNaiveBayes
0.5333333333333333,fms,GausNaiveBayes
0.7272727272727272,fms,GausNaiveBayes
0.5,precision,GausNaiveBayes
0.5714285714285714,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.7142857142857143,precision,GausNaiveBayes
0.6,precision,GausNaiveBayes
0.5714285714285714,precision,GausNaiveBayes
0.875,precision,GausNaiveBayes
0.4444444444444444,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.8,recall,GausNaiveBayes
0.5714285714285714,recall,GausNaiveBayes
0.8,recall,GausNaiveBayes
0.8571428571428571,recall,GausNaiveBayes
0.5555555555555556,recall,GausNaiveBayes
1.0,recall,GausNaiveBayes
1.0,recall,GausNaiveBayes
0.7777777777777778,recall,GausNaiveBayes
0.6666666666666666,recall,GausNaiveBayes
0.8,recall,GausNaiveBayes
0.42857142857142855,specificity,GausNaiveBayes
0.5714285714285714,specificity,GausNaiveBayes
0.6666666666666666,specificity,GausNaiveBayes
0.5,specificity,GausNaiveBayes
0.6666666666666666,specificity,GausNaiveBayes
0.7142857142857143,specificity,GausNaiveBayes
0.6666666666666666,specificity,GausNaiveBayes
0.5,specificity,GausNaiveBayes
0.375,specificity,GausNaiveBayes
0.75,specificity,GausNaiveBayes
0.5714285714285714,acc,LogReg
0.6666666666666666,acc,LogReg
0.7272727272727273,acc,LogReg
0.8181818181818182,acc,LogReg
0.9285714285714286,acc,LogReg
0.5,acc,LogReg
0.5714285714285714,acc,LogReg
0.75,acc,LogReg
0.5454545454545454,acc,LogReg
0.5833333333333334,acc,LogReg
0.6,roc,LogReg
0.7592592592592593,roc,LogReg
0.7,roc,LogReg
0.7142857142857142,roc,LogReg
0.9166666666666666,roc,LogReg
0.6875,roc,LogReg
0.37499999999999994,roc,LogReg
0.6857142857142857,roc,LogReg
0.5,roc,LogReg
0.8285714285714286,roc,LogReg
0.6250000000000001,fms,LogReg
0.5454545454545454,fms,LogReg
