1,metric,model
0.5333333333333333,acc,RandomForest
0.5714285714285714,acc,RandomForest
0.5,acc,RandomForest
0.3076923076923077,acc,RandomForest
0.38461538461538464,acc,RandomForest
0.8333333333333334,acc,RandomForest
0.8,acc,RandomForest
0.7857142857142857,acc,RandomForest
0.4444444444444444,acc,RandomForest
0.8571428571428571,acc,RandomForest
0.7407407407407407,roc,RandomForest
0.4888888888888889,roc,RandomForest
0.5571428571428572,roc,RandomForest
0.2638888888888889,roc,RandomForest
0.4404761904761905,roc,RandomForest
0.7777777777777778,roc,RandomForest
0.8800000000000001,roc,RandomForest
0.8125,roc,RandomForest
0.65,roc,RandomForest
0.7857142857142857,roc,RandomForest
0.46153846153846156,fms,RandomForest
0.5714285714285714,fms,RandomForest
0.5714285714285714,fms,RandomForest
0.0,fms,RandomForest
0.2,fms,RandomForest
0.8333333333333334,fms,RandomForest
0.8000000000000002,fms,RandomForest
0.7272727272727272,fms,RandomForest
0.4444444444444445,fms,RandomForest
0.8571428571428571,fms,RandomForest
0.75,precision,RandomForest
0.4444444444444444,precision,RandomForest
0.5714285714285714,precision,RandomForest
0.0,precision,RandomForest
0.25,precision,RandomForest
0.8333333333333334,precision,RandomForest
0.8,precision,RandomForest
0.8,precision,RandomForest
0.5,precision,RandomForest
0.8571428571428571,precision,RandomForest
0.3333333333333333,recall,RandomForest
0.8,recall,RandomForest
0.5714285714285714,recall,RandomForest
0.0,recall,RandomForest
0.16666666666666666,recall,RandomForest
0.8333333333333334,recall,RandomForest
0.8,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.4,recall,RandomForest
0.8571428571428571,recall,RandomForest
0.8333333333333334,specificity,RandomForest
0.4444444444444444,specificity,RandomForest
0.4,specificity,RandomForest
0.4444444444444444,specificity,RandomForest
0.5714285714285714,specificity,RandomForest
0.8333333333333334,specificity,RandomForest
0.8,specificity,RandomForest
0.875,specificity,RandomForest
0.5,specificity,RandomForest
0.8571428571428571,specificity,RandomForest
0.6,acc,GausNaiveBayes
0.42857142857142855,acc,GausNaiveBayes
0.5833333333333334,acc,GausNaiveBayes
0.5384615384615384,acc,GausNaiveBayes
0.5384615384615384,acc,GausNaiveBayes
0.8333333333333334,acc,GausNaiveBayes
0.8,acc,GausNaiveBayes
0.8571428571428571,acc,GausNaiveBayes
0.6666666666666666,acc,GausNaiveBayes
0.6428571428571429,acc,GausNaiveBayes
0.7592592592592593,roc,GausNaiveBayes
0.6222222222222223,roc,GausNaiveBayes
0.5142857142857142,roc,GausNaiveBayes
0.3611111111111111,roc,GausNaiveBayes
0.40476190476190477,roc,GausNaiveBayes
0.9166666666666667,roc,GausNaiveBayes
0.8800000000000001,roc,GausNaiveBayes
0.9583333333333334,roc,GausNaiveBayes
0.9,roc,GausNaiveBayes
0.8163265306122448,roc,GausNaiveBayes
0.5714285714285714,fms,GausNaiveBayes
0.5000000000000001,fms,GausNaiveBayes
0.7058823529411764,fms,GausNaiveBayes
0.5,fms,GausNaiveBayes
0.5,fms,GausNaiveBayes
0.8333333333333334,fms,GausNaiveBayes
