1,metric,model
0.7647058823529411,acc,RandomForest
0.7647058823529411,acc,RandomForest
0.5625,acc,RandomForest
0.875,acc,RandomForest
0.4375,acc,RandomForest
0.625,acc,RandomForest
0.6875,acc,RandomForest
0.6875,acc,RandomForest
0.9375,acc,RandomForest
0.625,acc,RandomForest
0.803030303030303,roc,RandomForest
0.7571428571428571,roc,RandomForest
0.5873015873015872,roc,RandomForest
0.9365079365079365,roc,RandomForest
0.5476190476190477,roc,RandomForest
0.6507936507936508,roc,RandomForest
0.8888888888888888,roc,RandomForest
0.65625,roc,RandomForest
0.9365079365079365,roc,RandomForest
0.7604166666666667,roc,RandomForest
0.6666666666666666,fms,RandomForest
0.75,fms,RandomForest
0.631578947368421,fms,RandomForest
0.8888888888888888,fms,RandomForest
0.47058823529411764,fms,RandomForest
0.6666666666666666,fms,RandomForest
0.7058823529411765,fms,RandomForest
0.6153846153846154,fms,RandomForest
0.9411764705882353,fms,RandomForest
0.25,fms,RandomForest
0.6666666666666666,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.6,precision,RandomForest
0.8888888888888888,precision,RandomForest
0.5,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.75,precision,RandomForest
0.8,precision,RandomForest
1.0,precision,RandomForest
0.25,precision,RandomForest
0.6666666666666666,recall,RandomForest
0.8571428571428571,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.8888888888888888,recall,RandomForest
0.4444444444444444,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.5,recall,RandomForest
0.8888888888888888,recall,RandomForest
0.25,recall,RandomForest
0.8181818181818182,specificity,RandomForest
0.7,specificity,RandomForest
0.42857142857142855,specificity,RandomForest
0.8571428571428571,specificity,RandomForest
0.42857142857142855,specificity,RandomForest
0.5714285714285714,specificity,RandomForest
0.7142857142857143,specificity,RandomForest
0.875,specificity,RandomForest
1.0,specificity,RandomForest
0.75,specificity,RandomForest
0.5294117647058824,acc,GausNaiveBayes
0.8823529411764706,acc,GausNaiveBayes
0.5,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.5,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.625,roc,GausNaiveBayes
0.9833333333333334,roc,GausNaiveBayes
0.6031746031746031,roc,GausNaiveBayes
0.609375,roc,GausNaiveBayes
0.8166666666666667,roc,GausNaiveBayes
0.9166666666666667,roc,GausNaiveBayes
0.8727272727272727,roc,GausNaiveBayes
0.49090909090909096,roc,GausNaiveBayes
0.8253968253968255,roc,GausNaiveBayes
0.4727272727272727,roc,GausNaiveBayes
0.5555555555555556,fms,GausNaiveBayes
0.9090909090909091,fms,GausNaiveBayes
0.6,fms,GausNaiveBayes
0.5882352941176471,fms,GausNaiveBayes
0.8181818181818182,fms,GausNaiveBayes
0.6666666666666666,fms,GausNaiveBayes
0.625,fms,GausNaiveBayes
0.42857142857142855,fms,GausNaiveBayes
0.6666666666666665,fms,GausNaiveBayes
0.6666666666666666,fms,GausNaiveBayes
0.5,precision,GausNaiveBayes
1.0,precision,GausNaiveBayes
0.5454545454545454,precision,GausNaiveBayes
0.5555555555555556,precision,GausNaiveBayes
0.75,precision,GausNaiveBayes
0.5,precision,GausNaiveBayes
0.45454545454545453,precision,GausNaiveBayes
0.3333333333333333,precision,GausNaiveBayes
0.5454545454545454,precision,GausNaiveBayes
0.7,precision,GausNaiveBayes
0.625,recall,GausNaiveBayes
0.8333333333333334,recall,GausNaiveBayes
0.6666666666666666,recall,GausNaiveBayes
0.625,recall,GausNaiveBayes
0.9,recall,GausNaiveBayes
1.0,recall,GausNaiveBayes
1.0,recall,GausNaiveBayes
0.6,recall,GausNaiveBayes
0.8571428571428571,recall,GausNaiveBayes
0.6363636363636364,recall,GausNaiveBayes
0.4444444444444444,specificity,GausNaiveBayes
1.0,specificity,GausNaiveBayes
0.2857142857142857,specificity,GausNaiveBayes
0.5,specificity,GausNaiveBayes
0.5,specificity,GausNaiveBayes
0.6666666666666666,specificity,GausNaiveBayes
0.45454545454545453,specificity,GausNaiveBayes
0.45454545454545453,specificity,GausNaiveBayes
0.4444444444444444,specificity,GausNaiveBayes
0.4,specificity,GausNaiveBayes
0.6470588235294118,acc,LogReg
0.5882352941176471,acc,LogReg
0.8125,acc,LogReg
0.5,acc,LogReg
0.6875,acc,LogReg
0.5625,acc,LogReg
0.75,acc,LogReg
0.75,acc,LogReg
0.8125,acc,LogReg
0.6875,acc,LogReg
0.75,roc,LogReg
0.5714285714285714,roc,LogReg
0.8125,roc,LogReg
0.5818181818181818,roc,LogReg
0.65,roc,LogReg
0.6984126984126985,roc,LogReg
0.734375,roc,LogReg
0.75,roc,LogReg
0.890909090909091,roc,LogReg
0.7083333333333334,roc,LogReg
0.7000000000000001,fms,LogReg
0.4615384615384615,fms,LogReg
0.7999999999999999,fms,LogReg
0.3333333333333333,fms,LogReg
0.761904761904762,fms,LogReg
0.5333333333333333,fms,LogReg
0.75,fms,LogReg
0.75,fms,LogReg
0.8571428571428572,fms,LogReg
0.5454545454545454,fms,LogReg
0.6363636363636364,precision,LogReg
0.5,precision,LogReg
0.8571428571428571,precision,LogReg
0.2857142857142857,precision,LogReg
0.7272727272727273,precision,LogReg
0.6666666666666666,precision,LogReg
0.75,precision,LogReg
0.75,precision,LogReg
0.9,precision,LogReg
0.42857142857142855,precision,LogReg
0.7777777777777778,recall,LogReg
0.42857142857142855,recall,LogReg
0.75,recall,LogReg
0.4,recall,LogReg
0.8,recall,LogReg
0.4444444444444444,recall,LogReg
0.75,recall,LogReg
0.75,recall,LogReg
0.8181818181818182,recall,LogReg
0.75,recall,LogReg
0.5,specificity,LogReg
0.7,specificity,LogReg
0.875,specificity,LogReg
0.5454545454545454,specificity,LogReg
0.5,specificity,LogReg
0.7142857142857143,specificity,LogReg
0.75,specificity,LogReg
0.75,specificity,LogReg
0.8,specificity,LogReg
0.6666666666666666,specificity,LogReg
