1,metric,model,method
0.7058823529411765,acc,RandomForest,average
0.8235294117647058,acc,RandomForest,average
0.9375,acc,RandomForest,average
0.75,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.8125,acc,RandomForest,average
0.75,acc,RandomForest,average
0.75,acc,RandomForest,average
0.875,acc,RandomForest,average
0.4375,acc,RandomForest,average
0.7571428571428571,roc,RandomForest,average
0.875,roc,RandomForest,average
0.9523809523809523,roc,RandomForest,average
0.746031746031746,roc,RandomForest,average
0.8095238095238095,roc,RandomForest,average
0.8333333333333334,roc,RandomForest,average
0.8650793650793651,roc,RandomForest,average
0.7619047619047619,roc,RandomForest,average
0.9,roc,RandomForest,average
0.5873015873015873,roc,RandomForest,average
0.6666666666666666,fms,RandomForest,average
0.7692307692307693,fms,RandomForest,average
0.9411764705882353,fms,RandomForest,average
0.7777777777777778,fms,RandomForest,average
0.6666666666666667,fms,RandomForest,average
0.7692307692307692,fms,RandomForest,average
0.7142857142857143,fms,RandomForest,average
0.7999999999999999,fms,RandomForest,average
0.8,fms,RandomForest,average
0.4,fms,RandomForest,average
0.625,precision,RandomForest,average
1.0,precision,RandomForest,average
1.0,precision,RandomForest,average
0.7777777777777778,precision,RandomForest,average
0.8333333333333334,precision,RandomForest,average
0.7142857142857143,precision,RandomForest,average
0.7142857142857143,precision,RandomForest,average
0.7272727272727273,precision,RandomForest,average
1.0,precision,RandomForest,average
0.5,precision,RandomForest,average
0.7142857142857143,recall,RandomForest,average
0.625,recall,RandomForest,average
0.8888888888888888,recall,RandomForest,average
0.7777777777777778,recall,RandomForest,average
0.5555555555555556,recall,RandomForest,average
0.8333333333333334,recall,RandomForest,average
0.7142857142857143,recall,RandomForest,average
0.8888888888888888,recall,RandomForest,average
0.6666666666666666,recall,RandomForest,average
0.3333333333333333,recall,RandomForest,average
0.7,specificity,RandomForest,average
1.0,specificity,RandomForest,average
1.0,specificity,RandomForest,average
0.7142857142857143,specificity,RandomForest,average
0.8571428571428571,specificity,RandomForest,average
0.8,specificity,RandomForest,average
0.7777777777777778,specificity,RandomForest,average
0.5714285714285714,specificity,RandomForest,average
1.0,specificity,RandomForest,average
0.5714285714285714,specificity,RandomForest,average
0.7058823529411765,acc,GausNaiveBayes,average
0.5882352941176471,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.8125,acc,GausNaiveBayes,average
0.8125,acc,GausNaiveBayes,average
0.8125,acc,GausNaiveBayes,average
0.5625,acc,GausNaiveBayes,average
0.75,acc,GausNaiveBayes,average
0.8125,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.6111111111111112,roc,GausNaiveBayes,average
0.6346153846153846,roc,GausNaiveBayes,average
0.7666666666666666,roc,GausNaiveBayes,average
0.859375,roc,GausNaiveBayes,average
0.7999999999999999,roc,GausNaiveBayes,average
0.9636363636363636,roc,GausNaiveBayes,average
0.5,roc,GausNaiveBayes,average
0.8833333333333334,roc,GausNaiveBayes,average
0.8166666666666667,roc,GausNaiveBayes,average
0.7272727272727272,roc,GausNaiveBayes,average
0.6666666666666667,fms,GausNaiveBayes,average
0.6956521739130435,fms,GausNaiveBayes,average
0.761904761904762,fms,GausNaiveBayes,average
0.7999999999999999,fms,GausNaiveBayes,average
0.7272727272727272,fms,GausNaiveBayes,average
0.8421052631578948,fms,GausNaiveBayes,average
0.3636363636363636,fms,GausNaiveBayes,average
0.7142857142857143,fms,GausNaiveBayes,average
0.8,fms,GausNaiveBayes,average
0.5454545454545454,fms,GausNaiveBayes,average
0.8333333333333334,precision,GausNaiveBayes,average
0.8,precision,GausNaiveBayes,average
0.7272727272727273,precision,GausNaiveBayes,average
0.8571428571428571,precision,GausNaiveBayes,average
0.6666666666666666,precision,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
0.4,precision,GausNaiveBayes,average
0.625,precision,GausNaiveBayes,average
0.6666666666666666,precision,GausNaiveBayes,average
0.5,precision,GausNaiveBayes,average
0.5555555555555556,recall,GausNaiveBayes,average
0.6153846153846154,recall,GausNaiveBayes,average
0.8,recall,GausNaiveBayes,average
0.75,recall,GausNaiveBayes,average
0.8,recall,GausNaiveBayes,average
0.7272727272727273,recall,GausNaiveBayes,average
0.3333333333333333,recall,GausNaiveBayes,average
0.8333333333333334,recall,GausNaiveBayes,average
1.0,recall,GausNaiveBayes,average
0.6,recall,GausNaiveBayes,average
0.875,specificity,GausNaiveBayes,average
0.5,specificity,GausNaiveBayes,average
0.5,specificity,GausNaiveBayes,average
0.875,specificity,GausNaiveBayes,average
0.8181818181818182,specificity,GausNaiveBayes,average
1.0,specificity,GausNaiveBayes,average
0.7,specificity,GausNaiveBayes,average
0.7,specificity,GausNaiveBayes,average
0.7,specificity,GausNaiveBayes,average
0.7272727272727273,specificity,GausNaiveBayes,average
0.6470588235294118,acc,LogReg,average
0.9411764705882353,acc,LogReg,average
0.5625,acc,LogReg,average
0.875,acc,LogReg,average
0.8125,acc,LogReg,average
0.875,acc,LogReg,average
0.875,acc,LogReg,average
0.75,acc,LogReg,average
0.6875,acc,LogReg,average
0.5625,acc,LogReg,average
0.6818181818181819,roc,LogReg,average
0.9393939393939394,roc,LogReg,average
0.6349206349206349,roc,LogReg,average
0.90625,roc,LogReg,average
0.8333333333333334,roc,LogReg,average
0.96875,roc,LogReg,average
0.90625,roc,LogReg,average
0.8253968253968254,roc,LogReg,average
0.8166666666666667,roc,LogReg,average
0.6349206349206349,roc,LogReg,average
0.5714285714285715,fms,LogReg,average
0.9090909090909091,fms,LogReg,average
0.4615384615384615,fms,LogReg,average
0.8571428571428571,fms,LogReg,average
0.8421052631578948,fms,LogReg,average
0.8571428571428571,fms,LogReg,average
0.875,fms,LogReg,average
0.75,fms,LogReg,average
0.7058823529411764,fms,LogReg,average
0.5882352941176471,fms,LogReg,average
0.5,precision,LogReg,average
1.0,precision,LogReg,average
0.5,precision,LogReg,average
1.0,precision,LogReg,average
0.8888888888888888,precision,LogReg,average
1.0,precision,LogReg,average
0.875,precision,LogReg,average
0.6666666666666666,precision,LogReg,average
0.8571428571428571,precision,LogReg,average
0.625,precision,LogReg,average
0.6666666666666666,recall,LogReg,average
0.8333333333333334,recall,LogReg,average
0.42857142857142855,recall,LogReg,average
0.75,recall,LogReg,average
0.8,recall,LogReg,average
0.75,recall,LogReg,average
0.875,recall,LogReg,average
0.8571428571428571,recall,LogReg,average
0.6,recall,LogReg,average
0.5555555555555556,recall,LogReg,average
0.6363636363636364,specificity,LogReg,average
1.0,specificity,LogReg,average
0.6666666666666666,specificity,LogReg,average
1.0,specificity,LogReg,average
0.8333333333333334,specificity,LogReg,average
1.0,specificity,LogReg,average
0.875,specificity,LogReg,average
0.6666666666666666,specificity,LogReg,average
0.8333333333333334,specificity,LogReg,average
0.5714285714285714,specificity,LogReg,average
