1,metric,model,method
0.5882352941176471,acc,RandomForest,average
0.5882352941176471,acc,RandomForest,average
0.8125,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.625,acc,RandomForest,average
0.75,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.5,acc,RandomForest,average
0.75,acc,RandomForest,average
0.625,acc,RandomForest,average
0.6857142857142857,roc,RandomForest,average
0.7714285714285714,roc,RandomForest,average
0.890625,roc,RandomForest,average
0.6354166666666666,roc,RandomForest,average
0.6,roc,RandomForest,average
0.71875,roc,RandomForest,average
0.6833333333333333,roc,RandomForest,average
0.671875,roc,RandomForest,average
0.8727272727272728,roc,RandomForest,average
0.7000000000000001,roc,RandomForest,average
0.4615384615384615,fms,RandomForest,average
0.588235294117647,fms,RandomForest,average
0.7999999999999999,fms,RandomForest,average
0.28571428571428575,fms,RandomForest,average
0.4,fms,RandomForest,average
0.7142857142857143,fms,RandomForest,average
0.7368421052631577,fms,RandomForest,average
0.5,fms,RandomForest,average
0.8333333333333333,fms,RandomForest,average
0.625,fms,RandomForest,average
0.5,precision,RandomForest,average
0.5,precision,RandomForest,average
0.8571428571428571,precision,RandomForest,average
0.3333333333333333,precision,RandomForest,average
0.5,precision,RandomForest,average
0.8333333333333334,precision,RandomForest,average
0.7777777777777778,precision,RandomForest,average
0.5,precision,RandomForest,average
0.7692307692307693,precision,RandomForest,average
0.8333333333333334,precision,RandomForest,average
0.42857142857142855,recall,RandomForest,average
0.7142857142857143,recall,RandomForest,average
0.75,recall,RandomForest,average
0.25,recall,RandomForest,average
0.3333333333333333,recall,RandomForest,average
0.625,recall,RandomForest,average
0.7,recall,RandomForest,average
0.5,recall,RandomForest,average
0.9090909090909091,recall,RandomForest,average
0.5,recall,RandomForest,average
0.7,specificity,RandomForest,average
0.5,specificity,RandomForest,average
0.875,specificity,RandomForest,average
0.8333333333333334,specificity,RandomForest,average
0.8,specificity,RandomForest,average
0.875,specificity,RandomForest,average
0.6666666666666666,specificity,RandomForest,average
0.5,specificity,RandomForest,average
0.4,specificity,RandomForest,average
0.8333333333333334,specificity,RandomForest,average
0.5882352941176471,acc,GausNaiveBayes,average
0.5882352941176471,acc,GausNaiveBayes,average
0.75,acc,GausNaiveBayes,average
0.8125,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
