1,metric,model,method
0.7058823529411765,acc,RandomForest,average
0.47058823529411764,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.625,acc,RandomForest,average
0.625,acc,RandomForest,average
0.8125,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.625,acc,RandomForest,average
0.75,acc,RandomForest,average
0.75,roc,RandomForest,average
0.6041666666666667,roc,RandomForest,average
0.796875,roc,RandomForest,average
0.6984126984126984,roc,RandomForest,average
0.7265625,roc,RandomForest,average
0.9047619047619048,roc,RandomForest,average
0.734375,roc,RandomForest,average
0.7142857142857143,roc,RandomForest,average
0.5634920634920635,roc,RandomForest,average
0.8181818181818181,roc,RandomForest,average
0.6666666666666667,fms,RandomForest,average
0.4,fms,RandomForest,average
0.7058823529411765,fms,RandomForest,average
0.5,fms,RandomForest,average
0.5714285714285715,fms,RandomForest,average
0.8421052631578948,fms,RandomForest,average
0.7058823529411765,fms,RandomForest,average
0.7368421052631577,fms,RandomForest,average
0.4,fms,RandomForest,average
0.6666666666666666,fms,RandomForest,average
0.8333333333333334,precision,RandomForest,average
0.5,precision,RandomForest,average
0.6666666666666666,precision,RandomForest,average
0.6,precision,RandomForest,average
0.6666666666666666,precision,RandomForest,average
0.8,precision,RandomForest,average
0.6666666666666666,precision,RandomForest,average
0.7,precision,RandomForest,average
0.6666666666666666,precision,RandomForest,average
0.5714285714285714,precision,RandomForest,average
0.5555555555555556,recall,RandomForest,average
0.3333333333333333,recall,RandomForest,average
0.75,recall,RandomForest,average
0.42857142857142855,recall,RandomForest,average
0.5,recall,RandomForest,average
0.8888888888888888,recall,RandomForest,average
0.75,recall,RandomForest,average
0.7777777777777778,recall,RandomForest,average
0.2857142857142857,recall,RandomForest,average
0.8,recall,RandomForest,average
0.875,specificity,RandomForest,average
0.625,specificity,RandomForest,average
0.625,specificity,RandomForest,average
0.7777777777777778,specificity,RandomForest,average
0.75,specificity,RandomForest,average
0.7142857142857143,specificity,RandomForest,average
0.625,specificity,RandomForest,average
0.5714285714285714,specificity,RandomForest,average
0.8888888888888888,specificity,RandomForest,average
0.7272727272727273,specificity,RandomForest,average
0.5882352941176471,acc,GausNaiveBayes,average
0.5882352941176471,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.75,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.8125,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.5,acc,GausNaiveBayes,average
0.75,acc,GausNaiveBayes,average
0.8125,acc,GausNaiveBayes,average
0.7424242424242425,roc,GausNaiveBayes,average
0.5833333333333334,roc,GausNaiveBayes,average
0.8,roc,GausNaiveBayes,average
0.9047619047619049,roc,GausNaiveBayes,average
0.746031746031746,roc,GausNaiveBayes,average
0.9333333333333333,roc,GausNaiveBayes,average
