1,metric,model,method
0.6470588235294118,acc,RandomForest,average
0.7647058823529411,acc,RandomForest,average
0.875,acc,RandomForest,average
0.75,acc,RandomForest,average
0.625,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.9375,acc,RandomForest,average
0.75,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.7013888888888888,roc,RandomForest,average
0.7714285714285714,roc,RandomForest,average
0.9454545454545454,roc,RandomForest,average
0.873015873015873,roc,RandomForest,average
0.7307692307692308,roc,RandomForest,average
0.75,roc,RandomForest,average
0.95,roc,RandomForest,average
0.7833333333333333,roc,RandomForest,average
0.6909090909090909,roc,RandomForest,average
0.6953125,roc,RandomForest,average
0.6666666666666666,fms,RandomForest,average
0.7777777777777777,fms,RandomForest,average
0.8333333333333333,fms,RandomForest,average
0.6666666666666666,fms,RandomForest,average
0.7272727272727274,fms,RandomForest,average
0.6153846153846153,fms,RandomForest,average
0.9090909090909091,fms,RandomForest,average
0.7499999999999999,fms,RandomForest,average
0.5454545454545454,fms,RandomForest,average
0.7058823529411765,fms,RandomForest,average
0.6666666666666666,precision,RandomForest,average
0.875,precision,RandomForest,average
0.7142857142857143,precision,RandomForest,average
0.8,precision,RandomForest,average
0.8888888888888888,precision,RandomForest,average
0.5714285714285714,precision,RandomForest,average
1.0,precision,RandomForest,average
1.0,precision,RandomForest,average
0.5,precision,RandomForest,average
0.6666666666666666,precision,RandomForest,average
0.6666666666666666,recall,RandomForest,average
0.7,recall,RandomForest,average
1.0,recall,RandomForest,average
0.5714285714285714,recall,RandomForest,average
0.6153846153846154,recall,RandomForest,average
0.6666666666666666,recall,RandomForest,average
0.8333333333333334,recall,RandomForest,average
0.6,recall,RandomForest,average
0.6,recall,RandomForest,average
0.75,recall,RandomForest,average
0.625,specificity,RandomForest,average
0.8571428571428571,specificity,RandomForest,average
0.8181818181818182,specificity,RandomForest,average
0.8888888888888888,specificity,RandomForest,average
0.6666666666666666,specificity,RandomForest,average
0.7,specificity,RandomForest,average
1.0,specificity,RandomForest,average
1.0,specificity,RandomForest,average
0.7272727272727273,specificity,RandomForest,average
0.625,specificity,RandomForest,average
0.7647058823529411,acc,GausNaiveBayes,average
0.5294117647058824,acc,GausNaiveBayes,average
0.375,acc,GausNaiveBayes,average
0.5625,acc,GausNaiveBayes,average
0.8125,acc,GausNaiveBayes,average
0.875,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.8125,acc,GausNaiveBayes,average
0.625,acc,GausNaiveBayes,average
0.875,acc,GausNaiveBayes,average
0.7916666666666666,roc,GausNaiveBayes,average
0.6428571428571428,roc,GausNaiveBayes,average
0.5416666666666666,roc,GausNaiveBayes,average
0.8253968253968254,roc,GausNaiveBayes,average
0.9333333333333333,roc,GausNaiveBayes,average
0.890625,roc,GausNaiveBayes,average
0.7166666666666667,roc,GausNaiveBayes,average
0.8,roc,GausNaiveBayes,average
0.7166666666666667,roc,GausNaiveBayes,average
0.75,roc,GausNaiveBayes,average
0.7777777777777778,fms,GausNaiveBayes,average
0.42857142857142855,fms,GausNaiveBayes,average
0.375,fms,GausNaiveBayes,average
0.3636363636363636,fms,GausNaiveBayes,average
0.8235294117647058,fms,GausNaiveBayes,average
0.8571428571428571,fms,GausNaiveBayes,average
0.7058823529411764,fms,GausNaiveBayes,average
0.6666666666666666,fms,GausNaiveBayes,average
0.25,fms,GausNaiveBayes,average
0.5,fms,GausNaiveBayes,average
0.7777777777777778,precision,GausNaiveBayes,average
0.42857142857142855,precision,GausNaiveBayes,average
0.75,precision,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
0.8571428571428571,precision,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
0.5,precision,GausNaiveBayes,average
0.5,precision,GausNaiveBayes,average
0.7777777777777778,recall,GausNaiveBayes,average
0.42857142857142855,recall,GausNaiveBayes,average
0.25,recall,GausNaiveBayes,average
0.2222222222222222,recall,GausNaiveBayes,average
0.7,recall,GausNaiveBayes,average
0.75,recall,GausNaiveBayes,average
0.6,recall,GausNaiveBayes,average
0.5,recall,GausNaiveBayes,average
0.16666666666666666,recall,GausNaiveBayes,average
0.5,recall,GausNaiveBayes,average
0.75,specificity,GausNaiveBayes,average
0.6,specificity,GausNaiveBayes,average
0.75,specificity,GausNaiveBayes,average
1.0,specificity,GausNaiveBayes,average
1.0,specificity,GausNaiveBayes,average
1.0,specificity,GausNaiveBayes,average
0.8333333333333334,specificity,GausNaiveBayes,average
1.0,specificity,GausNaiveBayes,average
0.9,specificity,GausNaiveBayes,average
0.9285714285714286,specificity,GausNaiveBayes,average
0.7647058823529411,acc,LogReg,average
0.8235294117647058,acc,LogReg,average
0.75,acc,LogReg,average
0.5625,acc,LogReg,average
0.6875,acc,LogReg,average
0.8125,acc,LogReg,average
0.875,acc,LogReg,average
0.5625,acc,LogReg,average
0.625,acc,LogReg,average
0.5625,acc,LogReg,average
0.8636363636363636,roc,LogReg,average
0.9305555555555556,roc,LogReg,average
0.873015873015873,roc,LogReg,average
0.5833333333333334,roc,LogReg,average
0.7166666666666667,roc,LogReg,average
0.734375,roc,LogReg,average
0.9523809523809523,roc,LogReg,average
0.6031746031746033,roc,LogReg,average
0.5396825396825398,roc,LogReg,average
0.6984126984126985,roc,LogReg,average
0.7142857142857143,fms,LogReg,average
0.7692307692307693,fms,LogReg,average
0.75,fms,LogReg,average
0.2222222222222222,fms,LogReg,average
0.7058823529411764,fms,LogReg,average
0.7999999999999999,fms,LogReg,average
0.8888888888888888,fms,LogReg,average
0.36363636363636365,fms,LogReg,average
0.6666666666666666,fms,LogReg,average
0.5882352941176471,fms,LogReg,average
0.625,precision,LogReg,average
1.0,precision,LogReg,average
0.6666666666666666,precision,LogReg,average
0.3333333333333333,precision,LogReg,average
0.8571428571428571,precision,LogReg,average
0.8571428571428571,precision,LogReg,average
0.8888888888888888,precision,LogReg,average
0.5,precision,LogReg,average
0.6666666666666666,precision,LogReg,average
0.625,precision,LogReg,average
0.8333333333333334,recall,LogReg,average
0.625,recall,LogReg,average
0.8571428571428571,recall,LogReg,average
0.16666666666666666,recall,LogReg,average
0.6,recall,LogReg,average
0.75,recall,LogReg,average
0.8888888888888888,recall,LogReg,average
0.2857142857142857,recall,LogReg,average
0.6666666666666666,recall,LogReg,average
0.5555555555555556,recall,LogReg,average
0.7272727272727273,specificity,LogReg,average
1.0,specificity,LogReg,average
0.6666666666666666,specificity,LogReg,average
0.8,specificity,LogReg,average
0.8333333333333334,specificity,LogReg,average
0.875,specificity,LogReg,average
0.8571428571428571,specificity,LogReg,average
0.7777777777777778,specificity,LogReg,average
0.5714285714285714,specificity,LogReg,average
0.5714285714285714,specificity,LogReg,average
