1,metric,model,method
0.8235294117647058,acc,RandomForest,average
0.7647058823529411,acc,RandomForest,average
0.5,acc,RandomForest,average
0.625,acc,RandomForest,average
0.75,acc,RandomForest,average
0.4375,acc,RandomForest,average
0.4375,acc,RandomForest,average
0.875,acc,RandomForest,average
0.625,acc,RandomForest,average
0.8125,acc,RandomForest,average
0.8785714285714286,roc,RandomForest,average
0.7803030303030304,roc,RandomForest,average
0.6,roc,RandomForest,average
0.8846153846153847,roc,RandomForest,average
0.9206349206349207,roc,RandomForest,average
0.5078125,roc,RandomForest,average
0.46875,roc,RandomForest,average
0.8888888888888888,roc,RandomForest,average
0.6666666666666666,roc,RandomForest,average
0.7416666666666667,roc,RandomForest,average
0.8421052631578948,fms,RandomForest,average
0.7142857142857143,fms,RandomForest,average
0.3333333333333333,fms,RandomForest,average
0.7000000000000001,fms,RandomForest,average
0.7142857142857143,fms,RandomForest,average
0.47058823529411764,fms,RandomForest,average
0.47058823529411764,fms,RandomForest,average
0.8750000000000001,fms,RandomForest,average
0.5714285714285715,fms,RandomForest,average
0.7692307692307692,fms,RandomForest,average
0.8888888888888888,precision,RandomForest,average
0.625,precision,RandomForest,average
0.3333333333333333,precision,RandomForest,average
1.0,precision,RandomForest,average
1.0,precision,RandomForest,average
0.4444444444444444,precision,RandomForest,average
0.4444444444444444,precision,RandomForest,average
0.7777777777777778,precision,RandomForest,average
0.5,precision,RandomForest,average
0.7142857142857143,precision,RandomForest,average
0.8,recall,RandomForest,average
0.8333333333333334,recall,RandomForest,average
0.3333333333333333,recall,RandomForest,average
0.5384615384615384,recall,RandomForest,average
0.5555555555555556,recall,RandomForest,average
0.5,recall,RandomForest,average
0.5,recall,RandomForest,average
1.0,recall,RandomForest,average
0.6666666666666666,recall,RandomForest,average
0.8333333333333334,recall,RandomForest,average
0.8571428571428571,specificity,RandomForest,average
0.7272727272727273,specificity,RandomForest,average
0.6,specificity,RandomForest,average
1.0,specificity,RandomForest,average
1.0,specificity,RandomForest,average
0.375,specificity,RandomForest,average
0.375,specificity,RandomForest,average
0.7777777777777778,specificity,RandomForest,average
0.6,specificity,RandomForest,average
0.8,specificity,RandomForest,average
0.8823529411764706,acc,GausNaiveBayes,average
0.7058823529411765,acc,GausNaiveBayes,average
0.5,acc,GausNaiveBayes,average
0.625,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.625,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.5625,acc,GausNaiveBayes,average
0.6875,acc,GausNaiveBayes,average
0.9714285714285714,roc,GausNaiveBayes,average
0.6515151515151515,roc,GausNaiveBayes,average
0.5666666666666667,roc,GausNaiveBayes,average
0.8205128205128206,roc,GausNaiveBayes,average
0.7301587301587301,roc,GausNaiveBayes,average
0.640625,roc,GausNaiveBayes,average
0.53125,roc,GausNaiveBayes,average
0.9523809523809523,roc,GausNaiveBayes,average
0.5666666666666667,roc,GausNaiveBayes,average
0.7833333333333333,roc,GausNaiveBayes,average
0.888888888888889,fms,GausNaiveBayes,average
0.6666666666666667,fms,GausNaiveBayes,average
0.5555555555555556,fms,GausNaiveBayes,average
0.7272727272727274,fms,GausNaiveBayes,average
0.6666666666666667,fms,GausNaiveBayes,average
0.7368421052631579,fms,GausNaiveBayes,average
0.7000000000000001,fms,GausNaiveBayes,average
0.7368421052631579,fms,GausNaiveBayes,average
0.5882352941176471,fms,GausNaiveBayes,average
0.6666666666666667,fms,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
0.5555555555555556,precision,GausNaiveBayes,average
0.4166666666666667,precision,GausNaiveBayes,average
0.8888888888888888,precision,GausNaiveBayes,average
0.8333333333333334,precision,GausNaiveBayes,average
0.6363636363636364,precision,GausNaiveBayes,average
0.5833333333333334,precision,GausNaiveBayes,average
0.5833333333333334,precision,GausNaiveBayes,average
0.45454545454545453,precision,GausNaiveBayes,average
0.5555555555555556,precision,GausNaiveBayes,average
0.8,recall,GausNaiveBayes,average
0.8333333333333334,recall,GausNaiveBayes,average
0.8333333333333334,recall,GausNaiveBayes,average
0.6153846153846154,recall,GausNaiveBayes,average
0.5555555555555556,recall,GausNaiveBayes,average
0.875,recall,GausNaiveBayes,average
0.875,recall,GausNaiveBayes,average
1.0,recall,GausNaiveBayes,average
0.8333333333333334,recall,GausNaiveBayes,average
0.8333333333333334,recall,GausNaiveBayes,average
1.0,specificity,GausNaiveBayes,average
0.6363636363636364,specificity,GausNaiveBayes,average
0.3,specificity,GausNaiveBayes,average
0.6666666666666666,specificity,GausNaiveBayes,average
0.8571428571428571,specificity,GausNaiveBayes,average
0.5,specificity,GausNaiveBayes,average
0.375,specificity,GausNaiveBayes,average
0.4444444444444444,specificity,GausNaiveBayes,average
0.4,specificity,GausNaiveBayes,average
0.6,specificity,GausNaiveBayes,average
0.9411764705882353,acc,LogReg,average
0.5294117647058824,acc,LogReg,average
0.625,acc,LogReg,average
0.6875,acc,LogReg,average
0.8125,acc,LogReg,average
0.8125,acc,LogReg,average
0.4375,acc,LogReg,average
0.8125,acc,LogReg,average
0.6875,acc,LogReg,average
0.8125,acc,LogReg,average
0.9428571428571428,roc,LogReg,average
0.6060606060606061,roc,LogReg,average
0.6333333333333334,roc,LogReg,average
0.8717948717948718,roc,LogReg,average
0.8253968253968252,roc,LogReg,average
0.75,roc,LogReg,average
0.453125,roc,LogReg,average
0.9682539682539683,roc,LogReg,average
0.6666666666666666,roc,LogReg,average
0.9166666666666667,roc,LogReg,average
0.9473684210526316,fms,LogReg,average
0.42857142857142855,fms,LogReg,average
0.5714285714285715,fms,LogReg,average
0.7826086956521738,fms,LogReg,average
0.823529411764706,fms,LogReg,average
0.823529411764706,fms,LogReg,average
0.5263157894736842,fms,LogReg,average
0.8235294117647058,fms,LogReg,average
0.5454545454545454,fms,LogReg,average
0.7692307692307692,fms,LogReg,average
1.0,precision,LogReg,average
0.375,precision,LogReg,average
0.5,precision,LogReg,average
0.9,precision,LogReg,average
0.875,precision,LogReg,average
0.7777777777777778,precision,LogReg,average
0.45454545454545453,precision,LogReg,average
0.7,precision,LogReg,average
0.6,precision,LogReg,average
0.7142857142857143,precision,LogReg,average
0.9,recall,LogReg,average
0.5,recall,LogReg,average
0.6666666666666666,recall,LogReg,average
0.6923076923076923,recall,LogReg,average
0.7777777777777778,recall,LogReg,average
0.875,recall,LogReg,average
0.625,recall,LogReg,average
1.0,recall,LogReg,average
0.5,recall,LogReg,average
0.8333333333333334,recall,LogReg,average
1.0,specificity,LogReg,average
0.5454545454545454,specificity,LogReg,average
0.6,specificity,LogReg,average
0.6666666666666666,specificity,LogReg,average
0.8571428571428571,specificity,LogReg,average
0.75,specificity,LogReg,average
0.25,specificity,LogReg,average
0.6666666666666666,specificity,LogReg,average
0.8,specificity,LogReg,average
0.8,specificity,LogReg,average
