1,metric,model,method
0.5333333333333333,acc,RandomForest,average
0.6875,acc,RandomForest,average
0.625,acc,RandomForest,average
0.4,acc,RandomForest,average
0.7857142857142857,acc,RandomForest,average
0.6,acc,RandomForest,average
0.5833333333333334,acc,RandomForest,average
0.7857142857142857,acc,RandomForest,average
0.7142857142857143,acc,RandomForest,average
0.6923076923076923,acc,RandomForest,average
0.6574074074074074,roc,RandomForest,average
0.7333333333333333,roc,RandomForest,average
0.890625,roc,RandomForest,average
0.44444444444444453,roc,RandomForest,average
0.78125,roc,RandomForest,average
0.6818181818181819,roc,RandomForest,average
0.7142857142857142,roc,RandomForest,average
0.9791666666666667,roc,RandomForest,average
0.9166666666666667,roc,RandomForest,average
0.738095238095238,roc,RandomForest,average
0.46153846153846156,fms,RandomForest,average
0.6666666666666667,fms,RandomForest,average
0.5,fms,RandomForest,average
0.4,fms,RandomForest,average
0.7692307692307692,fms,RandomForest,average
0.25,fms,RandomForest,average
0.6153846153846153,fms,RandomForest,average
0.7692307692307693,fms,RandomForest,average
0.7142857142857143,fms,RandomForest,average
0.6,fms,RandomForest,average
0.75,precision,RandomForest,average
0.5555555555555556,precision,RandomForest,average
0.75,precision,RandomForest,average
0.3333333333333333,precision,RandomForest,average
0.7142857142857143,precision,RandomForest,average
0.25,precision,RandomForest,average
0.6666666666666666,precision,RandomForest,average
1.0,precision,RandomForest,average
0.8333333333333334,precision,RandomForest,average
0.75,precision,RandomForest,average
0.3333333333333333,recall,RandomForest,average
0.8333333333333334,recall,RandomForest,average
0.375,recall,RandomForest,average
0.5,recall,RandomForest,average
0.8333333333333334,recall,RandomForest,average
0.25,recall,RandomForest,average
0.5714285714285714,recall,RandomForest,average
0.625,recall,RandomForest,average
0.625,recall,RandomForest,average
0.5,recall,RandomForest,average
0.8333333333333334,specificity,RandomForest,average
0.6,specificity,RandomForest,average
0.875,specificity,RandomForest,average
0.3333333333333333,specificity,RandomForest,average
0.75,specificity,RandomForest,average
0.7272727272727273,specificity,RandomForest,average
0.6,specificity,RandomForest,average
1.0,specificity,RandomForest,average
0.8333333333333334,specificity,RandomForest,average
0.8571428571428571,specificity,RandomForest,average
0.5333333333333333,acc,GausNaiveBayes,average
0.8125,acc,GausNaiveBayes,average
0.625,acc,GausNaiveBayes,average
0.5333333333333333,acc,GausNaiveBayes,average
0.7142857142857143,acc,GausNaiveBayes,average
0.4666666666666667,acc,GausNaiveBayes,average
0.5833333333333334,acc,GausNaiveBayes,average
0.6428571428571429,acc,GausNaiveBayes,average
0.6428571428571429,acc,GausNaiveBayes,average
0.6923076923076923,acc,GausNaiveBayes,average
0.6111111111111112,roc,GausNaiveBayes,average
0.7666666666666666,roc,GausNaiveBayes,average
0.765625,roc,GausNaiveBayes,average
0.4444444444444444,roc,GausNaiveBayes,average
0.6875,roc,GausNaiveBayes,average
0.5909090909090909,roc,GausNaiveBayes,average
0.8571428571428572,roc,GausNaiveBayes,average
0.8541666666666667,roc,GausNaiveBayes,average
0.9375,roc,GausNaiveBayes,average
0.6190476190476191,roc,GausNaiveBayes,average
0.5333333333333333,fms,GausNaiveBayes,average
0.7272727272727272,fms,GausNaiveBayes,average
0.5,fms,GausNaiveBayes,average
0.3636363636363636,fms,GausNaiveBayes,average
0.6,fms,GausNaiveBayes,average
0.3333333333333333,fms,GausNaiveBayes,average
0.4444444444444445,fms,GausNaiveBayes,average
0.6153846153846154,fms,GausNaiveBayes,average
0.5454545454545454,fms,GausNaiveBayes,average
0.6,fms,GausNaiveBayes,average
0.6666666666666666,precision,GausNaiveBayes,average
0.8,precision,GausNaiveBayes,average
0.75,precision,GausNaiveBayes,average
0.4,precision,GausNaiveBayes,average
0.75,precision,GausNaiveBayes,average
0.25,precision,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
0.8,precision,GausNaiveBayes,average
1.0,precision,GausNaiveBayes,average
0.75,precision,GausNaiveBayes,average
0.4444444444444444,recall,GausNaiveBayes,average
0.6666666666666666,recall,GausNaiveBayes,average
0.375,recall,GausNaiveBayes,average
0.3333333333333333,recall,GausNaiveBayes,average
0.5,recall,GausNaiveBayes,average
