1,metric,model,method
0.7647058823529411,acc,RandomForest,stack
0.5294117647058824,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.6875,acc,RandomForest,stack
0.5,acc,RandomForest,stack
0.8125,acc,RandomForest,stack
0.6875,acc,RandomForest,stack
0.8125,acc,RandomForest,stack
0.875,acc,RandomForest,stack
0.8125,acc,RandomForest,stack
0.8571428571428571,roc,RandomForest,stack
0.5151515151515151,roc,RandomForest,stack
0.75,roc,RandomForest,stack
0.8461538461538463,roc,RandomForest,stack
0.6190476190476191,roc,RandomForest,stack
0.859375,roc,RandomForest,stack
0.703125,roc,RandomForest,stack
0.873015873015873,roc,RandomForest,stack
0.9166666666666667,roc,RandomForest,stack
0.8666666666666667,roc,RandomForest,stack
0.7499999999999999,fms,RandomForest,stack
0.42857142857142855,fms,RandomForest,stack
0.5714285714285715,fms,RandomForest,stack
0.7826086956521738,fms,RandomForest,stack
0.5,fms,RandomForest,stack
0.7999999999999999,fms,RandomForest,stack
0.7058823529411765,fms,RandomForest,stack
0.7999999999999999,fms,RandomForest,stack
0.8333333333333334,fms,RandomForest,stack
0.7272727272727272,fms,RandomForest,stack
1.0,precision,RandomForest,stack
0.375,precision,RandomForest,stack
0.5,precision,RandomForest,stack
0.9,precision,RandomForest,stack
0.5714285714285714,precision,RandomForest,stack
0.8571428571428571,precision,RandomForest,stack
0.6666666666666666,precision,RandomForest,stack
0.75,precision,RandomForest,stack
0.8333333333333334,precision,RandomForest,stack
0.8,precision,RandomForest,stack
0.6,recall,RandomForest,stack
0.5,recall,RandomForest,stack
0.6666666666666666,recall,RandomForest,stack
0.6923076923076923,recall,RandomForest,stack
0.4444444444444444,recall,RandomForest,stack
0.75,recall,RandomForest,stack
0.75,recall,RandomForest,stack
0.8571428571428571,recall,RandomForest,stack
0.8333333333333334,recall,RandomForest,stack
0.6666666666666666,recall,RandomForest,stack
1.0,specificity,RandomForest,stack
0.5454545454545454,specificity,RandomForest,stack
0.6,specificity,RandomForest,stack
0.6666666666666666,specificity,RandomForest,stack
