1,metric,model,method
0.6470588235294118,acc,RandomForest,stack
0.7058823529411765,acc,RandomForest,stack
0.9375,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.625,acc,RandomForest,stack
0.75,acc,RandomForest,stack
0.8124999999999999,roc,RandomForest,stack
0.7638888888888888,roc,RandomForest,stack
0.9500000000000001,roc,RandomForest,stack
0.909090909090909,roc,RandomForest,stack
0.8174603174603176,roc,RandomForest,stack
0.7857142857142858,roc,RandomForest,stack
0.875,roc,RandomForest,stack
0.8909090909090909,roc,RandomForest,stack
0.6727272727272728,roc,RandomForest,stack
0.7063492063492063,roc,RandomForest,stack
0.6666666666666666,fms,RandomForest,stack
0.7368421052631579,fms,RandomForest,stack
0.923076923076923,fms,RandomForest,stack
0.7142857142857143,fms,RandomForest,stack
0.4,fms,RandomForest,stack
0.6250000000000001,fms,RandomForest,stack
0.7142857142857143,fms,RandomForest,stack
0.7777777777777778,fms,RandomForest,stack
0.7000000000000001,fms,RandomForest,stack
0.75,fms,RandomForest,stack
0.6666666666666666,precision,RandomForest,stack
0.6363636363636364,precision,RandomForest,stack
0.8571428571428571,precision,RandomForest,stack
0.5555555555555556,precision,RandomForest,stack
0.6666666666666666,precision,RandomForest,stack
0.5555555555555556,precision,RandomForest,stack
0.625,precision,RandomForest,stack
1.0,precision,RandomForest,stack
0.7777777777777778,precision,RandomForest,stack
0.8571428571428571,precision,RandomForest,stack
0.6666666666666666,recall,RandomForest,stack
0.875,recall,RandomForest,stack
1.0,recall,RandomForest,stack
1.0,recall,RandomForest,stack
0.2857142857142857,recall,RandomForest,stack
0.7142857142857143,recall,RandomForest,stack
0.8333333333333334,recall,RandomForest,stack
0.6363636363636364,recall,RandomForest,stack
0.6363636363636364,recall,RandomForest,stack
0.6666666666666666,recall,RandomForest,stack
0.625,specificity,RandomForest,stack
0.5555555555555556,specificity,RandomForest,stack
0.9,specificity,RandomForest,stack
0.6363636363636364,specificity,RandomForest,stack
0.8888888888888888,specificity,RandomForest,stack
0.5555555555555556,specificity,RandomForest,stack
0.7,specificity,RandomForest,stack
1.0,specificity,RandomForest,stack
0.6,specificity,RandomForest,stack
