1,metric,model,method
0.6,acc,RandomForest,stack
0.6666666666666666,acc,RandomForest,stack
0.8125,acc,RandomForest,stack
0.7333333333333333,acc,RandomForest,stack
0.6,acc,RandomForest,stack
0.5333333333333333,acc,RandomForest,stack
0.6153846153846154,acc,RandomForest,stack
0.6,acc,RandomForest,stack
0.6923076923076923,acc,RandomForest,stack
0.8571428571428571,acc,RandomForest,stack
0.6203703703703705,roc,RandomForest,stack
0.9375,roc,RandomForest,stack
0.8174603174603176,roc,RandomForest,stack
0.7,roc,RandomForest,stack
0.84,roc,RandomForest,stack
0.6388888888888888,roc,RandomForest,stack
0.6428571428571429,roc,RandomForest,stack
0.7159090909090909,roc,RandomForest,stack
0.6547619047619048,roc,RandomForest,stack
0.875,roc,RandomForest,stack
0.5,fms,RandomForest,stack
0.5454545454545454,fms,RandomForest,stack
0.7692307692307692,fms,RandomForest,stack
0.6,fms,RandomForest,stack
0.625,fms,RandomForest,stack
0.5882352941176471,fms,RandomForest,stack
0.5454545454545454,fms,RandomForest,stack
0.5,fms,RandomForest,stack
0.7142857142857143,fms,RandomForest,stack
0.875,fms,RandomForest,stack
0.5,precision,RandomForest,stack
1.0,precision,RandomForest,stack
0.8333333333333334,precision,RandomForest,stack
0.6,precision,RandomForest,stack
0.8333333333333334,precision,RandomForest,stack
0.625,precision,RandomForest,stack
0.6,precision,RandomForest,stack
0.375,precision,RandomForest,stack
0.625,precision,RandomForest,stack
0.875,precision,RandomForest,stack
0.5,recall,RandomForest,stack
0.375,recall,RandomForest,stack
0.7142857142857143,recall,RandomForest,stack
0.6,recall,RandomForest,stack
0.5,recall,RandomForest,stack
0.5555555555555556,recall,RandomForest,stack
0.5,recall,RandomForest,stack
0.75,recall,RandomForest,stack
0.8333333333333334,recall,RandomForest,stack
0.875,recall,RandomForest,stack
0.6666666666666666,specificity,RandomForest,stack
1.0,specificity,RandomForest,stack
0.8888888888888888,specificity,RandomForest,stack
0.8,specificity,RandomForest,stack
0.8,specificity,RandomForest,stack
0.5,specificity,RandomForest,stack
0.7142857142857143,specificity,RandomForest,stack
0.5454545454545454,specificity,RandomForest,stack
0.5714285714285714,specificity,RandomForest,stack
0.8333333333333334,specificity,RandomForest,stack
0.4,acc,GausNaiveBayes,stack
0.7333333333333333,acc,GausNaiveBayes,stack
0.625,acc,GausNaiveBayes,stack
0.3333333333333333,acc,GausNaiveBayes,stack
0.6666666666666666,acc,GausNaiveBayes,stack
0.7333333333333333,acc,GausNaiveBayes,stack
0.6923076923076923,acc,GausNaiveBayes,stack
0.5333333333333333,acc,GausNaiveBayes,stack
0.46153846153846156,acc,GausNaiveBayes,stack
0.7857142857142857,acc,GausNaiveBayes,stack
0.462962962962963,roc,GausNaiveBayes,stack
0.8571428571428571,roc,GausNaiveBayes,stack
0.6031746031746033,roc,GausNaiveBayes,stack
0.4,roc,GausNaiveBayes,stack
0.66,roc,GausNaiveBayes,stack
0.7407407407407408,roc,GausNaiveBayes,stack
0.6904761904761905,roc,GausNaiveBayes,stack
0.7272727272727273,roc,GausNaiveBayes,stack
0.6190476190476191,roc,GausNaiveBayes,stack
0.7708333333333334,roc,GausNaiveBayes,stack
0.4705882352941177,fms,GausNaiveBayes,stack
0.7142857142857143,fms,GausNaiveBayes,stack
0.5714285714285714,fms,GausNaiveBayes,stack
0.2857142857142857,fms,GausNaiveBayes,stack
0.7058823529411764,fms,GausNaiveBayes,stack
0.7999999999999999,fms,GausNaiveBayes,stack
0.7142857142857143,fms,GausNaiveBayes,stack
0.46153846153846156,fms,GausNaiveBayes,stack
0.5882352941176471,fms,GausNaiveBayes,stack
0.8421052631578948,fms,GausNaiveBayes,stack
0.36363636363636365,precision,GausNaiveBayes,stack
0.8333333333333334,precision,GausNaiveBayes,stack
0.5714285714285714,precision,GausNaiveBayes,stack
0.2222222222222222,precision,GausNaiveBayes,stack
0.8571428571428571,precision,GausNaiveBayes,stack
0.7272727272727273,precision,GausNaiveBayes,stack
0.625,precision,GausNaiveBayes,stack
0.3333333333333333,precision,GausNaiveBayes,stack
0.45454545454545453,precision,GausNaiveBayes,stack
0.7272727272727273,precision,GausNaiveBayes,stack
0.6666666666666666,recall,GausNaiveBayes,stack
0.625,recall,GausNaiveBayes,stack
0.5714285714285714,recall,GausNaiveBayes,stack
0.4,recall,GausNaiveBayes,stack
0.6,recall,GausNaiveBayes,stack
0.8888888888888888,recall,GausNaiveBayes,stack
0.8333333333333334,recall,GausNaiveBayes,stack
0.75,recall,GausNaiveBayes,stack
0.8333333333333334,recall,GausNaiveBayes,stack
1.0,recall,GausNaiveBayes,stack
0.2222222222222222,specificity,GausNaiveBayes,stack
0.8571428571428571,specificity,GausNaiveBayes,stack
0.6666666666666666,specificity,GausNaiveBayes,stack
0.3,specificity,GausNaiveBayes,stack
0.8,specificity,GausNaiveBayes,stack
0.5,specificity,GausNaiveBayes,stack
0.5714285714285714,specificity,GausNaiveBayes,stack
0.45454545454545453,specificity,GausNaiveBayes,stack
0.14285714285714285,specificity,GausNaiveBayes,stack
0.5,specificity,GausNaiveBayes,stack
0.5333333333333333,acc,LogReg,stack
0.6666666666666666,acc,LogReg,stack
0.3125,acc,LogReg,stack
0.6,acc,LogReg,stack
0.8,acc,LogReg,stack
0.4666666666666667,acc,LogReg,stack
0.7692307692307693,acc,LogReg,stack
0.6,acc,LogReg,stack
0.7692307692307693,acc,LogReg,stack
0.6428571428571429,acc,LogReg,stack
0.42592592592592593,roc,LogReg,stack
0.8392857142857142,roc,LogReg,stack
0.5079365079365079,roc,LogReg,stack
0.56,roc,LogReg,stack
0.7599999999999999,roc,LogReg,stack
0.6666666666666667,roc,LogReg,stack
0.6904761904761906,roc,LogReg,stack
0.7045454545454546,roc,LogReg,stack
0.8095238095238095,roc,LogReg,stack
0.8333333333333334,roc,LogReg,stack
0.4615384615384615,fms,LogReg,stack
0.5454545454545454,fms,LogReg,stack
0.15384615384615383,fms,LogReg,stack
0.4000000000000001,fms,LogReg,stack
