1,metric,model,method
0.38461538461538464,acc,RandomForest,webcam
0.6153846153846154,acc,RandomForest,webcam
0.46153846153846156,acc,RandomForest,webcam
0.46153846153846156,acc,RandomForest,webcam
0.5384615384615384,acc,RandomForest,webcam
0.5384615384615384,acc,RandomForest,webcam
0.46153846153846156,acc,RandomForest,webcam
0.38461538461538464,acc,RandomForest,webcam
0.46153846153846156,acc,RandomForest,webcam
0.46153846153846156,acc,RandomForest,webcam
0.45238095238095244,roc,RandomForest,webcam
0.6785714285714286,roc,RandomForest,webcam
0.6309523809523809,roc,RandomForest,webcam
0.42857142857142855,roc,RandomForest,webcam
0.6666666666666667,roc,RandomForest,webcam
0.5357142857142857,roc,RandomForest,webcam
0.47619047619047616,roc,RandomForest,webcam
0.33333333333333337,roc,RandomForest,webcam
0.34523809523809523,roc,RandomForest,webcam
0.38095238095238093,roc,RandomForest,webcam
0.3333333333333333,fms,RandomForest,webcam
0.5454545454545454,fms,RandomForest,webcam
0.4615384615384615,fms,RandomForest,webcam
0.3636363636363636,fms,RandomForest,webcam
0.5,fms,RandomForest,webcam
0.4,fms,RandomForest,webcam
0.3636363636363636,fms,RandomForest,webcam
0.42857142857142855,fms,RandomForest,webcam
0.588235294117647,fms,RandomForest,webcam
0.5333333333333333,fms,RandomForest,webcam
0.3333333333333333,precision,RandomForest,webcam
0.6,precision,RandomForest,webcam
0.42857142857142855,precision,RandomForest,webcam
0.4,precision,RandomForest,webcam
0.5,precision,RandomForest,webcam
0.5,precision,RandomForest,webcam
0.4,precision,RandomForest,webcam
0.42857142857142855,precision,RandomForest,webcam
0.5,precision,RandomForest,webcam
0.5,precision,RandomForest,webcam
0.3333333333333333,recall,RandomForest,webcam
0.5,recall,RandomForest,webcam
0.5,recall,RandomForest,webcam
0.3333333333333333,recall,RandomForest,webcam
0.5,recall,RandomForest,webcam
0.3333333333333333,recall,RandomForest,webcam
0.3333333333333333,recall,RandomForest,webcam
0.42857142857142855,recall,RandomForest,webcam
0.7142857142857143,recall,RandomForest,webcam
0.5714285714285714,recall,RandomForest,webcam
0.42857142857142855,specificity,RandomForest,webcam
0.7142857142857143,specificity,RandomForest,webcam
0.42857142857142855,specificity,RandomForest,webcam
0.5714285714285714,specificity,RandomForest,webcam
0.5714285714285714,specificity,RandomForest,webcam
0.7142857142857143,specificity,RandomForest,webcam
0.5714285714285714,specificity,RandomForest,webcam
0.3333333333333333,specificity,RandomForest,webcam
0.16666666666666666,specificity,RandomForest,webcam
0.3333333333333333,specificity,RandomForest,webcam
0.46153846153846156,acc,GausNaiveBayes,webcam
0.46153846153846156,acc,GausNaiveBayes,webcam
0.6153846153846154,acc,GausNaiveBayes,webcam
0.38461538461538464,acc,GausNaiveBayes,webcam
0.6923076923076923,acc,GausNaiveBayes,webcam
0.6153846153846154,acc,GausNaiveBayes,webcam
0.6153846153846154,acc,GausNaiveBayes,webcam
0.5384615384615384,acc,GausNaiveBayes,webcam
0.46153846153846156,acc,GausNaiveBayes,webcam
0.46153846153846156,acc,GausNaiveBayes,webcam
0.47619047619047616,roc,GausNaiveBayes,webcam
0.38095238095238093,roc,GausNaiveBayes,webcam
0.7142857142857143,roc,GausNaiveBayes,webcam
0.5238095238095238,roc,GausNaiveBayes,webcam
0.8333333333333333,roc,GausNaiveBayes,webcam
0.7142857142857143,roc,GausNaiveBayes,webcam
0.6666666666666667,roc,GausNaiveBayes,webcam
0.5,roc,GausNaiveBayes,webcam
