1,metric,model,method
0.7692307692307693,acc,RandomForest,webcam
0.5384615384615384,acc,RandomForest,webcam
0.46153846153846156,acc,RandomForest,webcam
0.3076923076923077,acc,RandomForest,webcam
0.46153846153846156,acc,RandomForest,webcam
0.46153846153846156,acc,RandomForest,webcam
0.5384615384615384,acc,RandomForest,webcam
0.3333333333333333,acc,RandomForest,webcam
0.4166666666666667,acc,RandomForest,webcam
0.6666666666666666,acc,RandomForest,webcam
0.8571428571428572,roc,RandomForest,webcam
0.5476190476190477,roc,RandomForest,webcam
0.5119047619047619,roc,RandomForest,webcam
0.4404761904761905,roc,RandomForest,webcam
0.32142857142857145,roc,RandomForest,webcam
0.5952380952380952,roc,RandomForest,webcam
0.5952380952380952,roc,RandomForest,webcam
0.4027777777777778,roc,RandomForest,webcam
0.3888888888888889,roc,RandomForest,webcam
0.7638888888888888,roc,RandomForest,webcam
0.6666666666666666,fms,RandomForest,webcam
0.5714285714285715,fms,RandomForest,webcam
0.3636363636363636,fms,RandomForest,webcam
0.0,fms,RandomForest,webcam
0.3636363636363636,fms,RandomForest,webcam
0.0,fms,RandomForest,webcam
0.5,fms,RandomForest,webcam
0.42857142857142855,fms,RandomForest,webcam
0.3636363636363636,fms,RandomForest,webcam
0.6666666666666666,fms,RandomForest,webcam
1.0,precision,RandomForest,webcam
0.5,precision,RandomForest,webcam
0.4,precision,RandomForest,webcam
0.0,precision,RandomForest,webcam
0.4,precision,RandomForest,webcam
0.0,precision,RandomForest,webcam
0.5,precision,RandomForest,webcam
0.375,precision,RandomForest,webcam
0.4,precision,RandomForest,webcam
0.6666666666666666,precision,RandomForest,webcam
0.5,recall,RandomForest,webcam
0.6666666666666666,recall,RandomForest,webcam
0.3333333333333333,recall,RandomForest,webcam
0.0,recall,RandomForest,webcam
0.3333333333333333,recall,RandomForest,webcam
0.0,recall,RandomForest,webcam
0.5,recall,RandomForest,webcam
0.5,recall,RandomForest,webcam
0.3333333333333333,recall,RandomForest,webcam
0.6666666666666666,recall,RandomForest,webcam
1.0,specificity,RandomForest,webcam
0.42857142857142855,specificity,RandomForest,webcam
0.5714285714285714,specificity,RandomForest,webcam
0.5714285714285714,specificity,RandomForest,webcam
0.5714285714285714,specificity,RandomForest,webcam
0.8571428571428571,specificity,RandomForest,webcam
0.5714285714285714,specificity,RandomForest,webcam
0.16666666666666666,specificity,RandomForest,webcam
0.5,specificity,RandomForest,webcam
0.6666666666666666,specificity,RandomForest,webcam
0.6923076923076923,acc,GausNaiveBayes,webcam
0.5384615384615384,acc,GausNaiveBayes,webcam
0.6153846153846154,acc,GausNaiveBayes,webcam
0.46153846153846156,acc,GausNaiveBayes,webcam
0.5384615384615384,acc,GausNaiveBayes,webcam
0.38461538461538464,acc,GausNaiveBayes,webcam
0.5384615384615384,acc,GausNaiveBayes,webcam
0.5833333333333334,acc,GausNaiveBayes,webcam
0.5,acc,GausNaiveBayes,webcam
0.5833333333333334,acc,GausNaiveBayes,webcam
0.7380952380952381,roc,GausNaiveBayes,webcam
0.6904761904761905,roc,GausNaiveBayes,webcam
0.40476190476190477,roc,GausNaiveBayes,webcam
0.5952380952380952,roc,GausNaiveBayes,webcam
0.47619047619047616,roc,GausNaiveBayes,webcam
0.380952380952381,roc,GausNaiveBayes,webcam
0.5476190476190477,roc,GausNaiveBayes,webcam
0.6111111111111112,roc,GausNaiveBayes,webcam
0.33333333333333326,roc,GausNaiveBayes,webcam
0.6111111111111112,roc,GausNaiveBayes,webcam
0.5,fms,GausNaiveBayes,webcam
0.25,fms,GausNaiveBayes,webcam
0.2857142857142857,fms,GausNaiveBayes,webcam
0.0,fms,GausNaiveBayes,webcam
0.4,fms,GausNaiveBayes,webcam
0.0,fms,GausNaiveBayes,webcam
0.25,fms,GausNaiveBayes,webcam
0.5454545454545454,fms,GausNaiveBayes,webcam
0.25,fms,GausNaiveBayes,webcam
0.5454545454545454,fms,GausNaiveBayes,webcam
1.0,precision,GausNaiveBayes,webcam
0.5,precision,GausNaiveBayes,webcam
1.0,precision,GausNaiveBayes,webcam
0.0,precision,GausNaiveBayes,webcam
0.5,precision,GausNaiveBayes,webcam
0.0,precision,GausNaiveBayes,webcam
0.5,precision,GausNaiveBayes,webcam
0.6,precision,GausNaiveBayes,webcam
0.5,precision,GausNaiveBayes,webcam
0.6,precision,GausNaiveBayes,webcam
0.3333333333333333,recall,GausNaiveBayes,webcam
0.16666666666666666,recall,GausNaiveBayes,webcam
0.16666666666666666,recall,GausNaiveBayes,webcam
0.0,recall,GausNaiveBayes,webcam
0.3333333333333333,recall,GausNaiveBayes,webcam
0.0,recall,GausNaiveBayes,webcam
0.16666666666666666,recall,GausNaiveBayes,webcam
0.5,recall,GausNaiveBayes,webcam
0.16666666666666666,recall,GausNaiveBayes,webcam
0.5,recall,GausNaiveBayes,webcam
1.0,specificity,GausNaiveBayes,webcam
0.8571428571428571,specificity,GausNaiveBayes,webcam
1.0,specificity,GausNaiveBayes,webcam
0.8571428571428571,specificity,GausNaiveBayes,webcam
0.7142857142857143,specificity,GausNaiveBayes,webcam
