1,metric,model,method
0.3076923076923077,acc,RandomForest,webcam
0.6923076923076923,acc,RandomForest,webcam
0.8461538461538461,acc,RandomForest,webcam
0.6153846153846154,acc,RandomForest,webcam
0.8461538461538461,acc,RandomForest,webcam
0.8461538461538461,acc,RandomForest,webcam
0.5384615384615384,acc,RandomForest,webcam
0.6666666666666666,acc,RandomForest,webcam
0.25,acc,RandomForest,webcam
0.4166666666666667,acc,RandomForest,webcam
0.3928571428571429,roc,RandomForest,webcam
0.7023809523809524,roc,RandomForest,webcam
0.8095238095238095,roc,RandomForest,webcam
0.5714285714285714,roc,RandomForest,webcam
0.9047619047619048,roc,RandomForest,webcam
0.9285714285714286,roc,RandomForest,webcam
0.8095238095238095,roc,RandomForest,webcam
0.6944444444444444,roc,RandomForest,webcam
0.29166666666666663,roc,RandomForest,webcam
0.4027777777777778,roc,RandomForest,webcam
0.1818181818181818,fms,RandomForest,webcam
0.6,fms,RandomForest,webcam
0.8333333333333334,fms,RandomForest,webcam
0.5454545454545454,fms,RandomForest,webcam
0.8571428571428571,fms,RandomForest,webcam
0.8,fms,RandomForest,webcam
0.25,fms,RandomForest,webcam
0.6666666666666666,fms,RandomForest,webcam
0.30769230769230765,fms,RandomForest,webcam
0.3636363636363636,fms,RandomForest,webcam
0.2,precision,RandomForest,webcam
0.75,precision,RandomForest,webcam
0.8333333333333334,precision,RandomForest,webcam
0.6,precision,RandomForest,webcam
0.75,precision,RandomForest,webcam
1.0,precision,RandomForest,webcam
1.0,precision,RandomForest,webcam
0.6666666666666666,precision,RandomForest,webcam
0.2857142857142857,precision,RandomForest,webcam
0.4,precision,RandomForest,webcam
0.16666666666666666,recall,RandomForest,webcam
0.5,recall,RandomForest,webcam
0.8333333333333334,recall,RandomForest,webcam
0.5,recall,RandomForest,webcam
1.0,recall,RandomForest,webcam
0.6666666666666666,recall,RandomForest,webcam
0.14285714285714285,recall,RandomForest,webcam
0.6666666666666666,recall,RandomForest,webcam
0.3333333333333333,recall,RandomForest,webcam
0.3333333333333333,recall,RandomForest,webcam
0.42857142857142855,specificity,RandomForest,webcam
0.8571428571428571,specificity,RandomForest,webcam
0.8571428571428571,specificity,RandomForest,webcam
0.7142857142857143,specificity,RandomForest,webcam
0.7142857142857143,specificity,RandomForest,webcam
1.0,specificity,RandomForest,webcam
1.0,specificity,RandomForest,webcam
0.6666666666666666,specificity,RandomForest,webcam
0.16666666666666666,specificity,RandomForest,webcam
0.5,specificity,RandomForest,webcam
0.8461538461538461,acc,GausNaiveBayes,webcam
0.46153846153846156,acc,GausNaiveBayes,webcam
0.6923076923076923,acc,GausNaiveBayes,webcam
0.6923076923076923,acc,GausNaiveBayes,webcam
0.6153846153846154,acc,GausNaiveBayes,webcam
0.6923076923076923,acc,GausNaiveBayes,webcam
0.6153846153846154,acc,GausNaiveBayes,webcam
0.5833333333333334,acc,GausNaiveBayes,webcam
0.4166666666666667,acc,GausNaiveBayes,webcam
0.3333333333333333,acc,GausNaiveBayes,webcam
0.761904761904762,roc,GausNaiveBayes,webcam
0.7142857142857143,roc,GausNaiveBayes,webcam
0.8809523809523809,roc,GausNaiveBayes,webcam
0.7619047619047619,roc,GausNaiveBayes,webcam
0.7619047619047619,roc,GausNaiveBayes,webcam
0.7857142857142857,roc,GausNaiveBayes,webcam
0.7380952380952381,roc,GausNaiveBayes,webcam
0.6666666666666667,roc,GausNaiveBayes,webcam
0.3333333333333333,roc,GausNaiveBayes,webcam
0.3611111111111111,roc,GausNaiveBayes,webcam
0.8,fms,GausNaiveBayes,webcam
0.0,fms,GausNaiveBayes,webcam
0.5,fms,GausNaiveBayes,webcam
0.5,fms,GausNaiveBayes,webcam
0.4444444444444444,fms,GausNaiveBayes,webcam
0.6,fms,GausNaiveBayes,webcam
0.4444444444444445,fms,GausNaiveBayes,webcam
0.2857142857142857,fms,GausNaiveBayes,webcam
0.2222222222222222,fms,GausNaiveBayes,webcam
0.0,fms,GausNaiveBayes,webcam
1.0,precision,GausNaiveBayes,webcam
0.0,precision,GausNaiveBayes,webcam
1.0,precision,GausNaiveBayes,webcam
1.0,precision,GausNaiveBayes,webcam
0.6666666666666666,precision,GausNaiveBayes,webcam
0.75,precision,GausNaiveBayes,webcam
1.0,precision,GausNaiveBayes,webcam
1.0,precision,GausNaiveBayes,webcam
0.3333333333333333,precision,GausNaiveBayes,webcam
0.0,precision,GausNaiveBayes,webcam
0.6666666666666666,recall,GausNaiveBayes,webcam
0.0,recall,GausNaiveBayes,webcam
0.3333333333333333,recall,GausNaiveBayes,webcam
0.3333333333333333,recall,GausNaiveBayes,webcam
0.3333333333333333,recall,GausNaiveBayes,webcam
0.5,recall,GausNaiveBayes,webcam
0.2857142857142857,recall,GausNaiveBayes,webcam
0.16666666666666666,recall,GausNaiveBayes,webcam
0.16666666666666666,recall,GausNaiveBayes,webcam
0.0,recall,GausNaiveBayes,webcam
1.0,specificity,GausNaiveBayes,webcam
0.8571428571428571,specificity,GausNaiveBayes,webcam
1.0,specificity,GausNaiveBayes,webcam
1.0,specificity,GausNaiveBayes,webcam
